;C11;C15;C17;C19;C3;C5;C6;CJA
base décimale bn:00025700n;1; 1; 1; 1; 0; 0; 0; 0; 
hexadécimal bn:00104145a;1; 1; 1; 0; 1; 0; 0; 0; 
octal bn:01534404n;1; 1; 0; 0; 1; 0; 0; 0; 
environ bn:00114074r;1; 0; 0; 0; 0; 0; 0; 0; 
bits bn:00010731n;1; 1; 1; 0; 1; 1; 0; 1; 
décimaux bn:15004607n;1; 0; 1; 0; 0; 0; 0; 0; 
répandre bn:00084556v;1; 0; 0; 0; 0; 0; 0; 0; 
ordre de grandeur bn:00052758n;1; 0; 0; 0; 0; 0; 0; 0; 
64 bit bn:00695610n;1; 0; 0; 0; 0; 0; 0; 0; 
décimale bn:02649777n;1; 1; 1; 0; 0; 0; 0; 0; 
égalité bn:00031284n;1; 0; 1; 0; 0; 1; 0; 0; 
échapper bn:00083961v;1; 0; 0; 0; 1; 0; 0; 0; 
école bn:00069619n;1; 1; 0; 0; 0; 0; 0; 0; 
inverse bn:00105377a;1; 1; 1; 0; 1; 0; 1; 0; 
barre oblique inverse bn:00988551n;1; 1; 1; 0; 1; 0; 1; 0; 
langage de programmation bn:00064652n;1; 1; 1; 1; 1; 1; 1; 1; 
classiques bn:00019566n;1; 0; 0; 1; 0; 0; 1; 1; 
concert bn:00021559n;1; 0; 0; 0; 0; 0; 0; 0; 
incrémentation bn:01936826n;1; 1; 1; 0; 1; 0; 0; 1; 
opérateur logiques bn:00051853n;1; 1; 1; 1; 1; 0; 1; 0; 
doute bn:00028425n;1; 1; 0; 0; 1; 0; 1; 0; 
conditionnelle bn:00100214a;1; 1; 1; 0; 1; 0; 0; 1; 
multiplier bn:00090977v;1; 0; 1; 0; 0; 0; 0; 0; 
donner naissance à bn:00083336v;1; 0; 0; 0; 0; 0; 0; 0; 
division bn:00027919n;1; 1; 1; 0; 1; 0; 1; 1; 
modulo bn:00553864n;1; 1; 1; 1; 1; 0; 0; 1; 
numérique bn:00107649a;1; 1; 1; 0; 1; 0; 0; 0; 
valeur logique bn:00855623n;1; 0; 0; 0; 0; 0; 0; 0; 
bloc bn:03098513n;1; 0; 1; 0; 1; 1; 0; 1; 
intéresse bn:00089814v;1; 0; 0; 0; 1; 0; 0; 0; 
divisible bn:00101643a;1; 0; 0; 0; 0; 0; 0; 0; 
instruction switch bn:01071927n;1; 1; 1; 1; 1; 0; 0; 1; 
case bn:04777941n;1; 1; 1; 0; 1; 0; 1; 1; 
excessif bn:00102500a;1; 0; 0; 0; 0; 0; 0; 0; 
quitter bn:00086604v;1; 0; 0; 0; 0; 0; 0; 0; 
dimanche bn:00028190n;1; 1; 0; 0; 1; 1; 1; 0; 
moment présent bn:00043807n;1; 0; 0; 0; 0; 0; 0; 0; 
secondes bn:00068672n;1; 0; 0; 0; 0; 0; 0; 0; 
janvier bn:00047960n;1; 1; 0; 0; 1; 0; 0; 0; 
