X;C3.csv;C5.csv;C6.csv
avant;0.333333;0;0.333333
méthodologie;0.333333;0;0.333333
spécification;0.333333;0;0.333333
junit;0.333333;0;0.333333
phpunit;0.333333;0;0.333333
sommes;0.333333;0;0.333333
librairie;0.2;0;0
mettre en place;0.333333;0;0.333333
architecture rest;0.333333;0;0.333333
transfer;0.333333;0;0.333333
logique métier;0.333333;0;0.333333
json;0.333333;0;0.333333
js;0.333333;0;0.333333
rich internet application;0.333333;0;0.333333
patch;0.333333;0;0.333333
soap;0.333333;0;0.333333
microsoft;0.2;0;0
principe;0.333333;0;0.333333
roy fielding;0.333333;0;0.333333
thèse;0.333333;0;0.333333
séparation;0.2;0;0
code serveur;0.333333;0;0.333333
description;0.2;0;0
mémorisation;0.333333;0;0.333333
contact;0.333333;0;0.333333
creation;0.333333;0;0.333333
détails;0.2;0;0
avérer;0.333333;0;0.333333
root;0.333333;0;0.333333
voter;0.333333;0;0.333333
mobile;0.333333;0;0.333333
informatique;0.2;0;0
initialisation;0.333333;0;0.333333
gitlab;0.333333;0;0.333333
bitbucket;0.333333;0;0.333333
github;0.333333;0;0.333333
revue;0.333333;0;0.333333
gestion de version;0.333333;0;0.333333
professionnelle;0.333333;0;0.333333
historique;0.333333;0;0.333333
dominique;0.333333;0.333333;0
novembre;0.333333;0.333333;0
document;0.333333;0.333333;0
gnu;0.333333;0.333333;0
gnu fdl;0.333333;0.333333;0
généralité;0.333333;0.333333;0
langage intermédiaires;0.333333;0.333333;0
faq;0.333333;0.333333;0
préliminaire;0.333333;0.333333;0
postgresql;0.333333;0.333333;0
pear;0.333333;0.333333;0
dbx;0.333333;0.333333;0
news;0.333333;0.333333;0
manipulation;0.333333;0.333333;0
accueil;0.333333;0.333333;0
étude de cas;0.333333;0.333333;0
évaluation;0.333333;0.333333;0
généalogie;0.333333;0.333333;0
généralité;0.333333;0.333333;0
optimisation;0.333333;0.333333;0
fonctionnement;0.333333;0.333333;0
remarque;0.333333;0.333333;0
autre;0.333333;0.333333;0
traiter de;0.333333;0.333333;0
aborder;0.333333;0.333333;0
universitaires;0.333333;0.333333;0
autonome;0.333333;0.333333;0
logiciel;0.333333;0.333333;0
docbook;0.333333;0.333333;0
texte source;0.333333;0.333333;0
emacs;0.333333;0.333333;0
dtd;0.333333;0.333333;0
disponible;0.333333;0.333333;0
seul;0.333333;0.333333;0
langage naturels;0.333333;0.333333;0
ordinateur;0.333333;0.333333;0
processeur;0.333333;0.333333;0
réécrire;0.333333;0.333333;0
portabilité;0.333333;0.333333;0
langage compilés;0.333333;0.333333;0
intelligible;0.333333;0.333333;0
point de vue;0.333333;0.333333;0
auxiliaire;0.333333;0.333333;0
mesure;0.333333;0.333333;0
exécutable;0.333333;0.333333;0
compilé;0.333333;0.333333;0
confidentialité;0.333333;0.333333;0
paiement;0.333333;0.333333;0
paiement en ligne;0.333333;0.333333;0
lisp;0.333333;0.333333;0
applets;0.333333;0.333333;0
page web dynamiques;0.333333;0.333333;0
flash;0.333333;0.333333;0
problématique;0.333333;0.333333;0
contrôle de sécurité;0.333333;0.333333;0
validité;0.333333;0.333333;0
être extrait;0.333333;0.333333;0
réalité;0.333333;0.333333;0
outil de développement;0.333333;0.333333;0
importer;0.333333;0.333333;0
application web;0.333333;0.333333;0
tant;0.333333;0.333333;0
cas particulier;0.333333;0.333333;0
générale;0.333333;0.333333;0
quelconques;0.333333;0.333333;0
soustraction;0.333333;0.333333;0
classiques;0.333333;0.333333;0
inférieur;0.333333;0.333333;0
table de multiplication;0.333333;0.333333;0
factorielles;0.333333;0.333333;0
enfant;0.333333;0.333333;0
common gateway interface;0.333333;0.333333;0
pouvoir;0.333333;0.333333;0
après;0.333333;0.333333;0
bouton radio;0.333333;0.333333;0
radio;0.333333;0.333333;0
case à cocher;0.333333;0.333333;0
clic;0.333333;0.333333;0
exclusifs;0.333333;0.333333;0
sélectionner;0.333333;0.333333;0
avoir accès;0.333333;0.333333;0
phrase;0.333333;0.333333;0
bébé;0.333333;0.333333;0
distance;0.333333;0.333333;0
vrai;0.333333;0.333333;0
nom de personne;0.333333;0.333333;0
permis de chasse;0.333333;0.333333;0
capital;0.333333;0.333333;0
coûter;0.333333;0.333333;0
groupe;0.333333;0.333333;0
liste déroulante;0.333333;0.333333;0
incomplète;0.333333;0.333333;0
devinette;0.333333;0.333333;0
manipulation;0.333333;0.333333;0
abuser;0.333333;0.333333;0
string;0.333333;0.333333;0
matrice;0.333333;0.333333;0
boucle for;0.333333;0.333333;0
couple;0.333333;0.333333;0
touch;0.333333;0.333333;0
hoaxbuster;0.333333;0.333333;0
virus;0.333333;0.333333;0
e-mail;0.333333;0.333333;0
identifier;0.333333;0.333333;0
xxvii;0.333333;0.333333;0
pilote;0.333333;0.333333;0
fonction de base;0.333333;0.333333;0
migration;0.333333;0.333333;0
comme;0.333333;0.333333;0
adodb;0.333333;0.333333;0
metadata;0.333333;0.333333;0
mssql;0.333333;0.333333;0
firebird;0.333333;0.333333;0
informix;0.333333;0.333333;0
odbc;0.333333;0.333333;0
clore;0.333333;0.333333;0
explicitement;0.333333;0.333333;0
ansi;0.333333;0.333333;0
homogène;0.333333;0.333333;0
adresse mail;0.333333;0.333333;0
copier-coller;0.333333;0.333333;0
rendre;0.333333;0.333333;0
détecter;0.333333;0.333333;0
envier;0.333333;0.333333;0
souhaitable;0.333333;0.333333;0
force brute;0.333333;0.333333;0
bc;0.333333;0.333333;0
temps de calcul;0.333333;0.333333;0
compliquer;0.333333;0.333333;0
chaîne littérale;0.333333;0.333333;0
tex;0.333333;0.333333;0
alex;0.333333;0.333333;0
thomas;0.333333;0.333333;0
avoir envie de;0.333333;0.333333;0
impératif;0.333333;0.333333;0
fonctionnalité;0.333333;0.333333;0
archiver;0.333333;0.333333;0
stocker;0.333333;0.333333;0
particulier;0.333333;0.333333;0
data source name;0.333333;0.333333;0
héberger;0.333333;0.333333;0
légèrement;0.333333;0.333333;0
configurer;0.333333;0.333333;0
affichage;0.333333;0.333333;0
tel;0.333333;0.333333;0
fax;0.333333;0.333333;0
guise;0.333333;0.333333;0
rows;0.333333;0.333333;0
bcd;0.333333;0.333333;0
sous-répertoire;0.333333;0.333333;0
article de presse;0.333333;0.333333;0
copier;0.333333;0.333333;0
horizontale;0.333333;0.333333;0
fin de paragraphe;0.333333;0.333333;0
système d’exploitation;0.333333;0.333333;0
disque dur;0.333333;0.333333;0
disquette;0.333333;0.333333;0
mini-site;0.333333;0.333333;0
accès libre;0.333333;0.333333;0
libre;0.333333;0.333333;0
numéro de téléphone;0.333333;0.333333;0
téléphone;0.333333;0.333333;0
énoncé;0.333333;0.333333;0
punition;0.333333;0.333333;0
récursive;0.333333;0.333333;0
retour;0.333333;0.333333;0
or;0.333333;0.333333;0
compléter;0.333333;0.333333;0
féminin;0.333333;0.333333;0
chasse;0.333333;0.333333;0
chiens;0.333333;0.333333;0
amis;0.333333;0.333333;0
bienvenue;0.333333;0.333333;0
interdit;0.333333;0.333333;0
