;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
nombre entiers bn:00047009n;0; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 
nombre à virgule flottante bn:00035278n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
variable de type bn:02158332n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
base 10 bn:00025700n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
base 8 bn:01534404n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
double bn:00101728a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
backslash bn:00988551n;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
valeur numérique bn:00000451n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
numérique bn:00107649a;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
list bn:04720346n;0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 1; 
pointeur bn:03222272n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
cmp bn:00119381n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
cle bn:04756252n;0; 1; 0; 0; 1; 0; 1; 1; 0; 0; 1; 
portée bn:03460088n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
globales bn:00103624a;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 
affiche bn:15173511n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
bloc bn:03098513n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
statiques bn:00111112a;0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 
récursives bn:00109560a;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
ambiguïté bn:00003266n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
méthode bn:01641329n;0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
disponibles bn:00097848a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
query_string bn:03583474n;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
integer bn:00691555n;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
string bn:00050078n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
contraire bn:00100398a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
numéro de ligne bn:03406633n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
système d’exploitation bn:00059123n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
linux bn:00051427n;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
