X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
modèle relationnel;0;0;0;0;0;0;0;0;0.00472813;0.00428266;0
relationnel;0;0;0.0156863;0;0;0;0;0;0.018648;0.0169133;0.020202
perdre;0;0;0;0;0;0;0;0;0;0.00214592;0
oublier;0;0;0;0;0;0;0.00606061;0;0;0.00428266;0
compatible;0;0;0.00790514;0;0;0;0;0;0;0.00852878;0.0102041
université de rouen;0;0.0026738;0;0;0;0;0;0;0;0;0
france;0;0.00533333;0;0;0;0;0.00606061;0;0;0;0
évolué;0;0.0026738;0;0;0;0;0;0;0;0;0
manuel;0;0.0026738;0;0;0;0;0;0;0;0;0
français;0;0.0026738;0;0;0;0;0;0;0;0;0
attention;0;0.0209974;0.0156863;0;0.0165631;0;0;0;0;0;0.020202
faute de frappe;0;0.00533333;0;0;0;0;0;0;0;0;0.00512821
entiers;0;0.0694789;0.0606061;0;0.0575397;0;0.0722222;0;0.0620843;0;0.0619048
3.14;0;0.0106101;0;0;0.00835073;0;0;0;0;0;0.0102041
expr;0;0.0026738;0;0;0;0;0;0;0;0;0
spécifique;0;0.0026738;0;0;0;0;0;0;0;0;0
pointeur;0;0;0.00396825;0;0;0;0;0;0;0;0.00512821
list;0;0.0209974;0.0156863;0;0;0;0;0;0.018648;0;0.020202
inverse;0;0.0026738;0;0;0;0;0;0;0;0;0
trie;0;0.0026738;0;0;0;0;0;0;0;0;0
accès;0;0.0026738;0;0;0;0;0;0;0;0;0
strcmp;0;0.00533333;0.00396825;0;0;0;0;0;0;0;0
casse;0;0.00533333;0;0;0.00419287;0;0;0;0;0;0
occurence;0;0.0026738;0;0;0;0;0;0;0;0;0
