X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
open source bn:01157392n ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
code source bn:00072947n ; 0 ; 0.0153846 ; 0 ; 0 ; 0.0153846 ; 0 ; 0 ; 0
statiques bn:00111112a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
configuration bn:03088982n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0153846 ; 0.0153846
évidente bn:00097350a ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111
second bn:00105773a ; 0 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235
exécutable bn:00102521a ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0
système d bn:04836299n ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235 ; 0
microsoft bn:01165400n ; 0 ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0 ; 0.030303
microsoft internet information server bn:01364468n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
choix bn:00018661n ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
programmation procédurale bn:01706415n ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235
procédurale bn:00109049a ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
httpd.conf bn:03668763n ; 0 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
common gateway interface bn:03588331n ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
disponibles bn:00097846a ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0.030303
fichier pdf bn:01745594n ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0 ; 0.030303
animation flash bn:00890589n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
xml bn:02771436n ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303
sauve bn:00093279v ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
système de fichiers bn:00034429n ; 0 ; 0.111111 ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111
davantage bn:00116284r ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
interbase bn:00968039n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
postgresql bn:01709156n ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0.030303
ibm db2 bn:00637255n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
odbc bn:14228731n ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
informix bn:03306725n ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235
ingres bn:03724918n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
délimiter bn:00086464v ; 0 ; 0 ; 0 ; 0.0153846 ; 0 ; 0.0153846 ; 0 ; 0
séparateurs bn:03371342n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303
fin de ligne bn:00051314n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
signe dollar bn:00028116n ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
barre oblique bn:00026814n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
