;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
rectilinear bn:00109556a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dui bn:00023268n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
departure bn:00026344n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
complete bn:00100144a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
upper set bn:02269868n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
solution bn:00068248n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
atomic sets bn:03897092n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
nonempty bn:03854174n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
depicts bn:00086611v;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sound bn:00000986n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
blob bn:02490531n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
empty bn:00102179a;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
l. bn:00016100n;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
symbolically bn:00117197r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
operand bn:00059114n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sense bn:00070494n;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
unordered pair bn:00234465n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ml bn:01331065n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
unlabeled bn:00112925a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
b. bn:00007598n;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
ordinary bn:00107963a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
target set bn:03285514n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
entity-relationship bn:03624842n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
node bn:03482974n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
described bn:00086525v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
employees bn:00030616n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
salary bn:15928884n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
precisely bn:00115268r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
attribute bn:00007067n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
parent bn:00060643n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
division bn:00027919n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
man bn:00044576n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
pi bn:00062194n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
male bn:00001533n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
overly bn:00115274r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
experimental research bn:00032309n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
vehicle bn:00079675n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
intelligence bn:00047025n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
natural language processing bn:00045156n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ap bn:03116255n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
semantic network bn:02275757n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
distinct type bn:00839256n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
naive bn:00107099a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
overcome bn:00091282v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
typically bn:00117361r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tween bn:02167073n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
edge bn:02612327n;1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
inherited bn:00089736v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
explanation bn:00000741n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
types bn:00016413n;1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 
variant bn:00017628n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
automatic teller bn:00006804n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
access right bn:15456161n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
distinct bn:00101496a;1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
breakup bn:00012943n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concurrent programs bn:01933105n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hypertext bn:00545957n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
context bn:00022168n;1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 
multiple bn:00107028a;1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 
composite bn:00100155a;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 
model theory bn:01256362n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
motivate bn:00082313v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ment bn:00001580n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
phones bn:00062020n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sequence bn:00070574n;1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
net bn:00102969a;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 
deed bn:00001077n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
sons bn:00051877n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
stepwise bn:00098458a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
large number bn:14223782n;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 
interrupt bn:00047212n;1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
unnatural bn:00096158a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bracketed bn:00083862v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
xor bn:00178793n;1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
singled bn:00093765v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
essence bn:00017124n;1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
simultaneity bn:00071704n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
generated bn:00083336v;1; 0; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 1; 
digital watch bn:00027091n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
disabled bn:00101440a;1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
display mode bn:03597684n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
technicality bn:01006362n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
depend bn:00086606v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ob bn:00058425n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
high-level bn:00104167a;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
high-level description bn:03385495n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
tor bn:00156778n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
t v bn:00076373n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
ear bn:00029372n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
depressing bn:00086632v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
imagine bn:00085516v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
speci bn:03233873n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
surrounding bn:00083797v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
no-frills bn:00107315a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
artificial intelligence bn:00002150n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
decide bn:00086370v;1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 
correct bn:00100490a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
crossover bn:03356782n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
equivalents bn:01731751n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
three-dimensional bn:00095976a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
third dimension bn:15649186n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
basic topology bn:01026070n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
motivation bn:00056037n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
future bn:00036941n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
connectivity bn:00853419n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
transitive closure bn:02285747n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
computational complexity bn:03626490n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
algorithmic bn:00096772a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
algorithmic problems bn:00002705n;1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
small number bn:01830947n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
gained bn:00082790v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
facility bn:00032645n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
garbage collection bn:00037292n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tend bn:00083202v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
visual system bn:00080136n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
quadruple bn:00065519n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
finite set bn:00308555n;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
restricted bn:00109319a;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
equivalence relation bn:00045819n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
equivalence class bn:03819865n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bl bn:00939396n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lr bn:01042977n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lent bn:00090290v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ail bn:00027546n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
restriction bn:00021755n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
nv bn:00009083n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
academic bn:00096228a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
academic press bn:01921972n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
cardelli bn:03226123n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
multiple inheritance bn:01226081n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
inheritance semantics bn:02361814n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
a1 bn:00030858n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lecture bn:00050488n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mass bn:00053662n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
siam bn:00049182n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dos bn:00027617n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
systems analysis bn:00075777n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
boston bn:00009334n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
tor bn:01325728n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ll bn:03396846n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
semantic relation bn:15173814n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
universal relation assumption bn:02257171n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
war bn:00080439n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
cg bn:03111524n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
publishers bn:00065108n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
university bn:00079152n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
university chicago bn:00079155n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
chicago bn:00018253n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
nato bn:00056978n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
il bn:00045911n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
working environment bn:00081570n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hendrix bn:00043692n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ussr bn:00068619n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sept. bn:00070537n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
commun bn:01602910n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
e. bn:00029342n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
ld bn:00051410n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
i-logix bn:03161278n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rep. bn:00045015n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
m.s. bn:00053731n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tn bn:00076518n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
princeton university bn:00064420n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
princeton university press bn:00417404n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ind bn:03507460n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
los angeles bn:00019336n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concur bn:01326090n;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
munich bn:00056219n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
searching bn:00087881v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
liveness bn:17223821n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
july 1982 bn:02831249n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
semantic memory bn:00070401n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
minsky bn:15912941n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
mit bn:00053691n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mit press bn:03585643n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
wiley bn:03334567n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
storage bn:00021483n;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
graphics press bn:01996223n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lm bn:02397426n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
aug bn:00007140n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
aug 19 bn:00712050n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mag bn:00052671n;1; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
symbolic logic bn:00035928n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
london bn:00013179n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
woods bn:00081492n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
distributed bn:00084119v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cr category bn:02548268n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tems bn:14743817n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dj bn:00027461n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
data structures bn:00025330n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
phrases bn:00045841n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fee bn:00033939n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
copyright bn:00022536n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
copyright notice bn:03553180n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
crisis management bn:02836923n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
management process bn:03127800n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
goal bn:00030721n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
scenario bn:01190125n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
workshop bn:00081618n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
case management bn:03537096n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
austria bn:00007266n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
open access bn:03097420n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
access bn:00000665n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
archive bn:00005448n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dissemination bn:00027056n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
research institution bn:00049551n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
france bn:00036202n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
abroad bn:00114087r;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
au bn:00006911n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
university paris bn:00060679n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
paris bn:00015540n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
paris 1 bn:02214373n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
process manager bn:01305513n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
strategic bn:00111286a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
strategic level bn:00074557n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fulfilled bn:00082225v;1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
technique bn:00064626n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 
goal modeling bn:01283920n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
process modeling bn:00912901n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
challenging bn:00084758v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
simulating bn:00085805v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
flood management bn:00035297n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
oka river bn:03091997n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
river bn:00067948n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
moscow bn:00015634n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
moscow region bn:03082654n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
flexibility bn:03298514n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
intentional bn:00105259a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tacit knowledge bn:01647738n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
human bn:00104386a;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
actor bn:00001176n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
federal bn:00102871a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
emergency bn:00030525n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
emergency management bn:00664225n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
specification bn:00073217n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
city bn:03335997n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
existing bn:00083184v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
water bn:00042379n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
workflows bn:00081578n;1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
proposed bn:00082486v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
problematic bn:00097982a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
adaptability bn:00001265n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
process specification bn:03558977n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
modeling language bn:02825036n;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
complete bn:00096275a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
provoked bn:00092118v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
snow bn:00072455n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
snow melting bn:03199254n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
risk bn:00030747n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
damages bn:00003333n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
infrastructure bn:00008794n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
railway bn:00066021n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
road bn:00067975n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
electric bn:00102085a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
electric power plant bn:00063961n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
plant bn:00035324n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
public service bn:00065098n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
agency bn:00001961n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
information system bn:00025331n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
roughly bn:00114073r;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
visualization bn:00080130n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
decision making bn:00025693n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
monitoring bn:00090897v;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
handling bn:00084527v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
he/she bn:00006884n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
request bn:00061826n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
process improvement bn:01058411n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bpmn bn:02370529n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
process designed bn:02410789n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hierarchical state machine bn:01726237n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 
hsm bn:14864558n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
parts bn:00060828n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
transition state bn:03731398n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 
enactment bn:00017766n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
