X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
hiérarchie;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
algorithme;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
énoncé;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0;0.000548697;0;0;0
valables;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
retrouver;0;0.00758653;0.00929152;0;0;0;0;0.0108401;0;0.00690399;0;0;0;0.00848131;0.00870748;0;0;0
type de fichier;0;0.000477555;0;0;0;0;0;0;0;0;0;0.000455581;0;0;0;0;0;0
styler;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000539374
arial;0;0.00190749;0;0.00973236;0.00318091;0;0;0;0;0;0;0;0.00370199;0;0;0;0;0
script côté client;0;0.000477555;0;0;0;0.000428725;0;0;0;0;0;0;0;0;0;0;0;0
côté client;0;0.103441;0.119188;0;0.143425;0.0919003;0;0.133764;0.139867;0.0929866;0;0.0919328;0;0.111217;0.113592;0;0;0
interactivité;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
invoquer;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
semaine;0;0.00380771;0;0;0;0.00341953;0;0;0;0.00346395;0;0.00363306;0;0;0.00437278;0;0;0
sommes;0;0.000954654;0;0;0;0;0;0;0;0;0;0;0;0.00106809;0;0;0;0.00107817
concaténation;0;0.18376;0.19035;0;0.204362;0.193339;0.178734;0.207016;0.208748;0.186168;0.136865;0;0;0.185501;0.192136;0;0;0.203224
souplesse;0;0.000477555;0;0;0;0.000428725;0;0;0;0;0;0;0;0;0;0;0;0
client mail;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
travers;0;0.00356973;0;0;0;0;0.00609261;0;0;0.0034647;0;0;0;0.00399255;0;0;0.0188206;0
e-mail;0;0.00190749;0.00233918;0;0;0.0017127;0;0;0;0;0;0;0;0;0.00219118;0;0;0
mailto;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
intéressant;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
clic;0;0.00190749;0;0;0;0.0017127;0;0;0;0.00173498;0;0;0;0;0.00219118;0;0;0
minimale;0;0.00190749;0;0;0.00318091;0;0;0.00273224;0;0;0;0;0;0;0.00219118;0;0;0
avoir lieu;0;0.0296708;0.0361582;0;0;0.0267168;0;0;0;0.0270556;0;0.0283437;0;0.0330835;0.0339433;0;0;0.0333855
adresse email;0;0.000954654;0;0;0;0.000857082;0;0;0;0;0;0;0;0;0.00109679;0;0;0
fourniture;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mise;0;0.00380771;0;0;0;0.00341953;0;0;0;0;0;0.00363306;0;0;0.00437278;0;0;0.00429876
