;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
générale bn:00103507a;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
deux bn:00000075n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
plusieurs bn:00110470a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
assemblage bn:04781999n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
spécifiques bn:00111003a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
caractère génériques bn:03157099n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
filtrage bn:00259585n;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
limiter bn:00086468v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
critère bn:00023853n;1; 0; 1; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
doublon bn:16572688n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
conceptuel bn:00100194a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
vertu bn:00017935n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
jointure bn:00048368n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
fusionner bn:00090745v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ambiguïtés bn:00003266n;1; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
pouvoir bn:00084451v;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 
naître bn:00082757v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
exister bn:00083184v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
bibliographie bn:00010224n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
type de valeurs bn:00253515n;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
concret bn:00100206a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
impossible bn:00104687a;1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 
normale bn:00107587a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
émettre bn:00089922v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
tel bn:00111411a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
intermédiaire bn:00047121n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
train bn:00066028n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
caractéristique bn:00099532a;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 0; 
notamment bn:00115235r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
grand nombre bn:14223782n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
maîtriser bn:00085748v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fonction de base bn:03294262n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
angle bn:00004117n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
avérer bn:00095117v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
déroulement bn:00035391n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
musique bn:00056443n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
acteurs bn:00001176n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cerner bn:01771517n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
être étendue bn:00090322v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
public bn:00109211a;1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 0; 
supposition bn:00006559n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
confronter bn:00087597v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
intranet bn:00047269n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
avoir envie de bn:00088107v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
classe bn:00082871v;1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 
dérouler bn:00089389v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
temps bn:00077270n;1; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
relation de un à un bn:04753252n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
démarrer bn:00083342v;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 
instanciation bn:00046945n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
modélisation bn:04905771n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
simplifier bn:00087951v;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
potentiels bn:00108830a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
coordonnées bn:00022459n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
donner naissance bn:00088850v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
primaire bn:00030305n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
êtres bn:00009677n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
fonctionnalité bn:00036836n;1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
validité bn:01410980n;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
format de date bn:03576260n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
séparément bn:00115904r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ligne de code bn:02312840n;1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
charge de travail bn:00081580n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
commettre bn:00085426v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
l’écriture bn:00081714n;1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 
ergonomiques bn:00113458a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
police de caractère bn:00016414n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
couleurs bn:00020726n;1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
correcte bn:00100492a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
placer bn:00090224v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
économie bn:00029676n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
dégager bn:00084196v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
répartition bn:00027877n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mentionner bn:00088078v;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
résulter bn:00087671v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
électronique bn:00102099a;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
gif bn:00444440n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
h2 bn:02803535n;1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 
solid bn:03959931n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
encart bn:02265602n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
navigation bn:00057073n;1; 0; 0; 1; 0; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
déconnecter bn:00090445v;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lors bn:00117250r;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lien de retour bn:03396945n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
déconnexion bn:00027504n;1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
feuille bn:00035596n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sophistiquée bn:00110922a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
approfondir bn:00086706v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
oublier bn:00084302v;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
certain bn:00099474a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
alternative bn:00003132n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sens large bn:04822383n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
encodeur bn:02487361n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bienvenue bn:00080852n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
ressembler à bn:00092876v;1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
progression bn:00001551n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
difficulté bn:00027042n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
feed-back bn:00033948n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
avoir échoué bn:00089072v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
id bn:03885719n;1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 0; 1; 0; 1; 
mini-site bn:00251724n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
arborescence bn:02462444n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cache bn:00014484n;1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
licence bn:00050986n;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
licence gnu bn:01157379n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 
gnu bn:00324017n;1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
gnu free documentation licence bn:01157394n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
anglais bn:00030862n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 0; 
free software bn:00182120n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 
free software foundation bn:01158352n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
quatrième de couverture bn:00032652n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
copie bn:00087583v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
paris bn:00015540n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
france bn:00036202n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 
fax bn:00032653n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
programmation web bn:03446093n;1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 1; 1; 1; 
rappel bn:03490040n;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
document web bn:03606607n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
applets bn:00005083n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
activex bn:03829972n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
plugins bn:00001275n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
httpd bn:16913184n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
mod_perl bn:01549964n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
servlets bn:03188848n;1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
bonjour bn:00043620n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hériter bn:00043823n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
bibliothèques bn:00050969n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 0; 1; 
licence php bn:03293781n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rasmus lerdorf bn:03232211n;1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
livre d’or bn:03888259n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
compteur bn:00023158n;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
zeev suraski bn:00571154n;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
netcraft bn:03608511n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
zend bn:03133191n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 
société privée bn:00036346n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interpréter bn:00089840v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 
calcul mathématique bn:00014689n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
mathématique bn:00106488a;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
licence open source bn:01530143n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
télécharger bn:14037830n;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
tar.gz bn:16068787n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
help bn:13915186n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
serveur apache bn:01932513n;1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
debian bn:03704159n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
comportement bn:00009657n;1; 1; 0; 1; 1; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
gestion bn:00053116n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
relatifs bn:00109123a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
opérateurs bn:16281811n;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
variable de type bn:02158332n;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
double bn:00101728a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
valeur numérique bn:00000451n;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
pointeur bn:03222272n;1; 1; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
cmp bn:00119381n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cle bn:04756252n;1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
affiche bn:15173511n;1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
récursives bn:00109560a;1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
disponibles bn:00097848a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
query_string bn:03583474n;1; 1; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
integer bn:00691555n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 1; 
string bn:00050078n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
contraire bn:00100398a;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
numéro de ligne bn:03406633n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
système d’exploitation bn:00059123n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
linux bn:00051427n;1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 
vrai bn:00078452n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
multiplication bn:00056300n;1; 1; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 
égal bn:00102336a;1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 0; 1; 1; 0; 
après bn:00114165r;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
langage c bn:00014377n;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
appel de fonction bn:00036827n;1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
instruction vide bn:03112071n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lisibilité bn:04849472n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
reproduire bn:00092851v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
substitution bn:03342494n;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
valeur de retour bn:03828774n;1; 1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 
correct bn:00100490a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 
carre bn:00036107n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
coeur bn:00017124n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
passage par référence bn:14985956n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
constante bn:00100331a;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
possibilité bn:00045632n;1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 1; 1; 0; 0; 0; 1; 1; 0; 
c++ bn:03586438n;1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 
classes bn:03608262n;1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 
encapsulation bn:01505556n;1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
entité abstraite bn:00000492n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fonctionnement bn:00059128n;1; 1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
héritage bn:00043822n;1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 0; 0; 1; 0; 0; 
polymorphisme bn:01974384n;1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
constructeur bn:03834827n;1; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 0; 0; 1; 0; 0; 
destructeur bn:01558988n;1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
garbage collector bn:00037292n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
header bn:00043309n;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 1; 0; 
politique bn:00063351n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
pouvoir bn:00063940n;1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
intervenir bn:00082748v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
malheureusement bn:00114196r;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
développer bn:00082278v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
éditer bn:00087485v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ldap bn:01096348n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
soin bn:00029048n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
fichier de configuration bn:03229365n;1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
généralement bn:00114778r;1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
reprise bn:00067474n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
encadrer bn:00090616v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
host bn:01846442n;1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 0; 0; 
visiteur bn:03106425n;1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 
compiler bn:00021344n;1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
détruire bn:00084202v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sauvegarde bn:00007838n;1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
