X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
language bn:00049910n ; 0.116525 ; 0.118644 ; 0 ; 0.103814 ; 0.120763 ; 0.105932 ; 0.0783898 ; 0 ; 0.0254237 ; 0 ; 0 ; 0.112288 ; 0
behavior bn:00009657n ; 0.0169492 ; 0.0169492 ; 0 ; 0.0169492 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0169492 ; 0 ; 0 ; 0
complex bn:00100148a ; 0.116525 ; 0.118644 ; 0 ; 0.103814 ; 0.120763 ; 0.105932 ; 0.0783898 ; 0 ; 0.0254237 ; 0 ; 0 ; 0.112288 ; 0
complex system bn:03086504n ; 0 ; 0.029661 ; 0 ; 0 ; 0.0275424 ; 0 ; 0.0190678 ; 0 ; 0 ; 0 ; 0.0211864 ; 0 ; 0.0254237
problem bn:00048242n ; 0 ; 0.029661 ; 0.0275424 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0211864 ; 0 ; 0.0254237 ; 0.0233051
reactive systems bn:02824399n ; 0.0508475 ; 0.0423729 ; 0 ; 0 ; 0.0381356 ; 0 ; 0 ; 0.0360169 ; 0 ; 0.029661 ; 0 ; 0.0423729 ; 0
example bn:00032100n ; 0.0677966 ; 0.0550847 ; 0 ; 0.059322 ; 0.059322 ; 0.0614407 ; 0 ; 0.0550847 ; 0 ; 0 ; 0 ; 0 ; 0
automobiles bn:00007309n ; 0.0169492 ; 0.0169492 ; 0 ; 0 ; 0.0169492 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0169492 ; 0
networks bn:00024712n ; 0.00847458 ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0
kind bn:00035907n ; 0 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0
way bn:00033729n ; 0 ; 0 ; 0.0317797 ; 0.0338983 ; 0.0317797 ; 0.0317797 ; 0 ; 0.0317797 ; 0 ; 0 ; 0 ; 0 ; 0
time bn:00077270n ; 0 ; 0.137712 ; 0.112288 ; 0.112288 ; 0.135593 ; 0.0995763 ; 0 ; 0 ; 0 ; 0 ; 0.0847458 ; 0.144068 ; 0.108051
simulation bn:00021496n ; 0.0169492 ; 0 ; 0.0169492 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0169492 ; 0 ; 0.0169492 ; 0
set bn:00070697n ; 0.0572034 ; 0 ; 0.0466102 ; 0 ; 0.0550847 ; 0.0508475 ; 0.0508475 ; 0 ; 0 ; 0 ; 0 ; 0.0614407 ; 0
