X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
domaine bn:03853489n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
sous-domaines bn:03725510n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
common gateway interface bn:03588331n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0.0097561
gateway bn:03381108n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
lire bn:00066357n ; 0 ; 0 ; 0.154589 ; 0.188235 ; 0.15534 ; 0.156098 ; 0 ; 0 ; 0.15311 ; 0.13617
langage de programmation bn:00064652n ; 0 ; 0.125 ; 0.132353 ; 0.147929 ; 0.133005 ; 0.145 ; 0 ; 0 ; 0 ; 0.116379
langage de script bn:01431715n ; 0 ; 0 ; 0.0112994 ; 0 ; 0 ; 0 ; 0.0178571 ; 0 ; 0 ; 0
côté serveur bn:03816678n ; 0 ; 0 ; 0.0837696 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
open source bn:01157392n ; 0 ; 0 ; 0.0223464 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220994 ; 0.0193237
grand nombre bn:14223782n ; 0 ; 0 ; 0.0437158 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
facebook bn:03624775n ; 0 ; 0 ; 0 ; 0 ; 0.0224719 ; 0 ; 0 ; 0 ; 0.0220994 ; 0.0193237
wikipédia bn:03288118n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0111732 ; 0.0097561
installation bn:03478637n ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
wamp bn:01708928n ; 0 ; 0 ; 0.0437158 ; 0 ; 0.043956 ; 0 ; 0 ; 0 ; 0.0432432 ; 0.0379147
mamp bn:03197470n ; 0 ; 0 ; 0 ; 0 ; 0.0224719 ; 0 ; 0 ; 0 ; 0.0220994 ; 0.0193237
éditeur de texte bn:00076736n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0111732 ; 0.0097561
macos bn:01415427n ; 0 ; 0 ; 0.0223464 ; 0 ; 0.0224719 ; 0 ; 0 ; 0 ; 0 ; 0.0193237
windows bn:00081305n ; 0 ; 0 ; 0.0437158 ; 0 ; 0.043956 ; 0.0441989 ; 0 ; 0 ; 0 ; 0.0379147
emacs bn:01156253n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0.0097561
nano bn:01478473n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
langage c bn:00014377n ; 0 ; 0 ; 0.0437158 ; 0.0547945 ; 0 ; 0 ; 0 ; 0 ; 0.0432432 ; 0.0379147
attribut bn:00007068n ; 0 ; 0 ; 0 ; 0 ; 0.0224719 ; 0 ; 0 ; 0 ; 0.0220994 ; 0.0193237
integer bn:00691555n ; 0 ; 0 ; 0.0732984 ; 0 ; 0.0793651 ; 0.0740741 ; 0 ; 0.116667 ; 0 ; 0.0737327
concaténation bn:03489514n ; 0 ; 0.0909091 ; 0 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
opérateur logiques bn:00051853n ; 0 ; 0 ; 0.0437158 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
multiplication bn:00056300n ; 0 ; 0 ; 0.154589 ; 0.188235 ; 0.15534 ; 0.156098 ; 0 ; 0 ; 0.15311 ; 0.13617
division bn:00027919n ; 0 ; 0 ; 0.0437158 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
valeur numérique bn:00000451n ; 0 ; 0 ; 0.0223464 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0220994 ; 0.0193237
comparaison bn:00021304n ; 0 ; 0.0795455 ; 0.0732984 ; 0 ; 0 ; 0 ; 0 ; 0.116667 ; 0.078125 ; 0.0737327
égal bn:00102336a ; 0 ; 0 ; 0.0837696 ; 0.103896 ; 0 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
inférieur bn:00035700n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0225989 ; 0 ; 0 ; 0.0220994 ; 0.0193237
mathématiques bn:00106488a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
extraction bn:04915718n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
procédural bn:00109049a ; 0 ; 0 ; 0.0112994 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
capables bn:00099215a ; 0 ; 0 ; 0 ; 0.0142857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
tableau associatifs bn:03848413n ; 0 ; 0 ; 0 ; 0 ; 0.0224719 ; 0 ; 0.0350877 ; 0 ; 0 ; 0.0193237
hash bn:00583146n ; 0 ; 0 ; 0.0437158 ; 0.0547945 ; 0.043956 ; 0 ; 0 ; 0 ; 0 ; 0.0379147
sizeof bn:03205994n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0111732 ; 0.0097561
foreach bn:03463379n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0178571 ; 0 ; 0 ; 0.0097561
cle bn:04756252n ; 0 ; 0.0909091 ; 0.0837696 ; 0.103896 ; 0 ; 0 ; 0 ; 0 ; 0.0829016 ; 0.0730594
rappel bn:03490040n ; 0 ; 0 ; 0.225664 ; 0.218274 ; 0.232143 ; 0.211454 ; 0.218391 ; 0 ; 0.202586 ; 0.200787
serveur bn:00044916n ; 0 ; 0 ; 0.126829 ; 0.147929 ; 0.127451 ; 0 ; 0 ; 0.176471 ; 0.142157 ; 0.131004
unix bn:00079165n ; 0 ; 0 ; 0.0223464 ; 0 ; 0.0224719 ; 0 ; 0 ; 0 ; 0 ; 0.0193237
page bn:00060158n ; 0 ; 0 ; 0.0112994 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
possibilité bn:00045632n ; 0 ; 0 ; 0 ; 0.103896 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
linux bn:00051427n ; 0 ; 0 ; 0.0837696 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
line bn:16701562n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
