X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
valeur numérique bn:00000451n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
comparaison bn:00021304n ; 0 ; 0.0869565 ; 0.0652174 ; 0 ; 0 ; 0.0652174 ; 0.076087
égal bn:00102336a ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
inférieur bn:00035700n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
mathématiques bn:00106488a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
extraction bn:04915718n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
procédural bn:00109049a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
capables bn:00099215a ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
tableau associatifs bn:03848413n ; 0 ; 0.0217391 ; 0 ; 0 ; 0.0217391 ; 0 ; 0
hash bn:00583146n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
sizeof bn:03205994n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
foreach bn:03463379n ; 0 ; 0.347826 ; 0.25 ; 0.23913 ; 0.23913 ; 0.195652 ; 0.25
cle bn:04756252n ; 0 ; 0.173913 ; 0.130435 ; 0.130435 ; 0 ; 0.108696 ; 0.141304
rappel bn:03490040n ; 0 ; 0.0869565 ; 0 ; 0.076087 ; 0.076087 ; 0 ; 0.076087
serveur bn:00044916n ; 0 ; 0.173913 ; 0.130435 ; 0.130435 ; 0 ; 0.108696 ; 0.141304
unix bn:00079165n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
page bn:00060158n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
communication bn:00021221n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
possibilité bn:00045632n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
interpréter bn:00089840v ; 0 ; 0.0434783 ; 0.0326087 ; 0 ; 0 ; 0.0326087 ; 0
linux bn:00051427n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
line bn:16701562n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
rows bn:03611246n ; 0 ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783
query string bn:03583474n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
clique bn:00015038n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
analyser bn:15790106n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
variables bn:00079583n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
transaction bn:01403911n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
femme bn:00001530n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
côté client bn:03163702n ; 0 ; 0.0217391 ; 0.0217391 ; 0 ; 0 ; 0 ; 0
ok bn:00058395n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
droit bn:00048655n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
générique bn:00103518a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
échouer bn:00087967v ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
contacter bn:00085696v ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00063940n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
standard bn:00111129a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
conditionnelles bn:00100214a ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
diagramme bn:00026817n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
switch bn:01071927n ; 0 ; 0.347826 ; 0.25 ; 0.23913 ; 0.23913 ; 0.195652 ; 0.25
bloc bn:03098513n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
prix unitaire bn:00587816n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
boucle for bn:03237322n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
répéter bn:00089731v ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
initialisation bn:00046781n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
incrémentation bn:01936826n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
mettre à jour bn:00095451v ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
col bn:00018680n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
evaluation bn:02745649n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
binôme bn:00098404a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
classes bn:03608262n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
bienvenue bn:00080852n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
class bn:03598962n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
constantes bn:00100331a ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
créer bn:00086008v ; 0 ; 0.0217391 ; 0.0217391 ; 0 ; 0 ; 0 ; 0
mot bn:00081546n ; 0 ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0 ; 0 ; 0.0869565
méthode bn:01641329n ; 0 ; 0.347826 ; 0.25 ; 0.23913 ; 0.23913 ; 0.195652 ; 0.25
env bn:01199166n ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783 ; 0 ; 0.0434783
session bn:03751534n ; 0 ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0 ; 0
temps bn:00077270n ; 0 ; 0.173913 ; 0.163043 ; 0.152174 ; 0.152174 ; 0 ; 0.152174
visiteur bn:03106425n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
adresse ip bn:00706454n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
ip bn:00046704n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
réutilisation bn:02823226n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
entité bn:00031027n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
entité html bn:01327413n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
afficher bn:00087013v ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
comportement bn:00009657n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
trim bn:00074703n ; 0 ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783
séquence bn:00070574n ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783 ; 0.0434783
bcd bn:16690020n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
unset bn:00176172n ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0.0434783
vrai bn:00078452n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
disponible bn:00097846a ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
vides bn:00030635n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
possibles bn:00108829a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
id bn:03885719n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
pouvoir bn:00084451v ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
essayer bn:00082844v ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
mp4 bn:03619211n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
stream bn:02122367n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
développement bn:01834425n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
système de gestion bn:01510781n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0
dbms bn:14249264n ; 0 ; 0.0217391 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
system bn:15125301n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
logiciel système bn:00075772n ; 0 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0.0217391
