X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
common gateway interface bn:03588331n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
gateway bn:03381108n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
lire bn:00066357n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
langage de programmation bn:00064652n ; 0.111111 ; 0 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111
paris bn:00015540n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
langage de script bn:01431715n ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0
côté serveur bn:03816678n ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0
open source bn:01157392n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
grand nombre bn:14223782n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
facebook bn:03624775n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
wikipédia bn:03288118n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
opérateur bn:16281811n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
installation bn:03478637n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
wamp bn:01708928n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
mamp bn:03197470n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
éditeur de texte bn:00076736n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
macos bn:01415427n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
windows bn:00081305n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
emacs bn:01156253n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
nano bn:01478473n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
langage c bn:00014377n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
attribut bn:00007068n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
integer bn:00691555n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
super bn:17336345n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2
type bn:00016413n ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0
concaténation bn:03489514n ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0
opérateur logiques bn:00051853n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
multiplication bn:00056300n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
division bn:00027919n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
valeur numérique bn:00000451n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
comparaison bn:00021304n ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0 ; 0
égal bn:00102336a ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
inférieur bn:00035700n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
mathématiques bn:00106488a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
extraction bn:04915718n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
procédural bn:00109049a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
capables bn:00099215a ; 0.2 ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
tableau associatifs bn:03848413n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2
hash bn:00583146n ; 0.2 ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
sizeof bn:03205994n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
foreach bn:03463379n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
cle bn:04756252n ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0
rappel bn:03490040n ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0
serveur bn:00044916n ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0
unix bn:00079165n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
page bn:00060158n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
communication bn:00021221n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
possibilité bn:00045632n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
interpréter bn:00089840v ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
linux bn:00051427n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
line bn:16701562n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
rows bn:03611246n ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0
query string bn:03583474n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
clique bn:00015038n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
analyser bn:15790106n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
variables bn:00079583n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
transaction bn:01403911n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
femme bn:00001530n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
côté client bn:03163702n ; 0.2 ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2
ok bn:00058395n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
droit bn:00048655n ; 0.2 ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
générique bn:00103518a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
échouer bn:00087967v ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
contacter bn:00085696v ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
pouvoir bn:00063940n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
standard bn:00111129a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
conditionnelles bn:00100214a ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
diagramme bn:00026817n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
switch bn:01071927n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
bloc bn:03098513n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
prix unitaire bn:00587816n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
boucle for bn:03237322n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
répéter bn:00089731v ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
initialisation bn:00046781n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
incrémentation bn:01936826n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
mettre à jour bn:00095451v ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
col bn:00018680n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
evaluation bn:02745649n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
binôme bn:00098404a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
classes bn:03608262n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
bienvenue bn:00080852n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
class bn:03598962n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
constantes bn:00100331a ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
créer bn:00086008v ; 0.2 ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2
mot bn:00081546n ; 0.0588235 ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0
méthode bn:01641329n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
env bn:01199166n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0
session bn:03751534n ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235
temps bn:00077270n ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0
visiteur bn:03106425n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
adresse ip bn:00706454n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
ip bn:00046704n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
réutilisation bn:02823226n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
entité bn:00031027n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
entité html bn:01327413n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
afficher bn:00087013v ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
comportement bn:00009657n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
trim bn:00074703n ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0
séquence bn:00070574n ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0
bcd bn:16690020n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
unset bn:00176172n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
vrai bn:00078452n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
disponible bn:00097846a ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
vides bn:00030635n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
possibles bn:00108829a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
id bn:03885719n ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
pouvoir bn:00084451v ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
essayer bn:00082844v ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
impossible bn:00104687a ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
mp4 bn:03619211n ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
