X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
premier bn:00103006a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
devoir sur table bn:04973014n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
semaine bn:00043484n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
devoir maison bn:00044563n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
interrogation bn:00047208n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
générale bn:00103507a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
explication bn:00000741n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
front office bn:16857738n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
front bn:00013389n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
xamp bn:02350502n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
internet bn:00024712n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
faille de sécurité bn:00080285n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
sql bn:02266432n ; 0 ; 0.0615385 ; 0 ; 0 ; 0 ; 0.0816327 ; 0.0769231
concret bn:00100206a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0204082
header bn:00043309n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
head bn:02338897n ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
informatique bn:00100175a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0.115942 ; 0 ; 0.137931 ; 0 ; 0.150943 ; 0.142857
w3c bn:02673666n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
dtd bn:15232677n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
firefox bn:01387235n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
internet explorer bn:17346309n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
internet explorer 9 bn:00863156n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
recherche bn:00067280n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
descriptions bn:04723965n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
précision bn:00641989n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
paragraphe bn:00060556n ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
h2 bn:02803535n ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
terme technique bn:00048027n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
tr bn:03561884n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
insertion bn:02234787n ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
img bn:02450504n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
infobulle bn:03850072n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
balise html bn:02104867n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
js bn:15539067n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
css bn:00056944n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
dns bn:03714295n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
logique métier bn:00795795n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
port 443 bn:00560835n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
host bn:01846442n ; 0 ; 0.0615385 ; 0 ; 0 ; 0 ; 0.0816327 ; 0.0769231
uniform resource identifier bn:02569519n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
ipv4 bn:00749818n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
ipv6 bn:00749926n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
visiter bn:00084426v ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
nom de domaine bn:00028143n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
domaine bn:03853489n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
sous-domaines bn:03725510n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
configuration bn:03088982n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
common gateway interface bn:03588331n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
gateway bn:03381108n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
lire bn:00066357n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
langage de programmation bn:00064652n ; 0 ; 0.0615385 ; 0.0689655 ; 0.0740741 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0 ; 0.0204082 ; 0 ; 0
côté serveur bn:03816678n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
open source bn:01157392n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
grand nombre bn:14223782n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
facebook bn:03624775n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
wikipédia bn:03288118n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
installation bn:03478637n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
mamp bn:03197470n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
éditeur de texte bn:00076736n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
macos bn:01415427n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
