X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
droit bn:00048655n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
générique bn:00103518a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
échouer bn:00087967v ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
contacter bn:00085696v ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00063940n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
standard bn:00111129a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
conditionnelles bn:00100214a ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
diagramme bn:00026817n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
switch bn:01071927n ; 0 ; 0.4 ; 0.328571 ; 0.314286 ; 0.323529 ; 0.28125 ; 0.338235
bloc bn:03098513n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
prix unitaire bn:00587816n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
boucle for bn:03237322n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
répéter bn:00089731v ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
initialisation bn:00046781n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
incrémentation bn:01936826n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
mettre à jour bn:00095451v ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
col bn:00018680n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
evaluation bn:02745649n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
binôme bn:00098404a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
classes bn:03608262n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
bienvenue bn:00080852n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
class bn:03598962n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
constantes bn:00100331a ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
créer bn:00086008v ; 0 ; 0.030303 ; 0.0425532 ; 0 ; 0 ; 0 ; 0
mot bn:00081546n ; 0 ; 0.111111 ; 0.150943 ; 0.153846 ; 0 ; 0 ; 0.156863
méthode bn:01641329n ; 0 ; 0.4 ; 0.328571 ; 0.314286 ; 0.323529 ; 0.28125 ; 0.338235
env bn:01199166n ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0869565 ; 0 ; 0.0851064
session bn:03751534n ; 0 ; 0.111111 ; 0.150943 ; 0.153846 ; 0.16 ; 0 ; 0
temps bn:00077270n ; 0 ; 0.205128 ; 0.25 ; 0.233333 ; 0.241379 ; 0 ; 0.237288
visiteur bn:03106425n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
adresse ip bn:00706454n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
ip bn:00046704n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
réutilisation bn:02823226n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
entité bn:00031027n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
entité html bn:01327413n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
afficher bn:00087013v ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
comportement bn:00009657n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
trim bn:00074703n ; 0 ; 0.0588235 ; 0.0816327 ; 0 ; 0 ; 0 ; 0.0851064
séquence bn:00070574n ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0851064
bcd bn:16690020n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
unset bn:00176172n ; 0 ; 0.0588235 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0851064
vrai bn:00078452n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
disponible bn:00097846a ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
vides bn:00030635n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
possibles bn:00108829a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
id bn:03885719n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
pouvoir bn:00084451v ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
essayer bn:00082844v ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
mp4 bn:03619211n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
stream bn:02122367n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
développement bn:01834425n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
système de gestion bn:01510781n ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0
dbms bn:14249264n ; 0 ; 0.030303 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
system bn:15125301n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
logiciel système bn:00075772n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
complexité bn:00021383n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
postgresql bn:01709156n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
mariadb bn:01841320n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
