X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
poo;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
classe;0;0;0.014652;0;0.015873;0;0;0;0;0.0125392
classe type;0;0;0;0;0;0;0;0;0.00970874;0.00630915
concept;0;0;0;0;0;0;0;0;0.00970874;0.00630915
héritage;0;0;0.09;0;0.100719;0.112033;0;0.148571;0.119658;0.0938416
encapsulation;0;0;0;0;0;0;0;0;0.00970874;0.00630915
caractéristique;0;0;0;0;0.03125;0.0366972;0;0;0.0377358;0.0247678
hériter;0;0;0;0;0;0;0;0;0.00970874;0.00630915
polymorphisme;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
public;0;0;0.0561404;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
constructeur;0;0;0.09;0;0.100719;0.112033;0;0.148571;0.119658;0.0938416
importer;0;0;0;0.0298507;0;0.0322581;0;0.0397351;0;0.0249221
redéfinition;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
portée;0;0;0.00738007;0;0;0;0;0;0;0.00630915
double;0;0;0;0;0;0;0;0;0;0.00316456
self;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
dehors;0;0;0;0;0;0;0;0;0;0.00316456
uml;0;0;0;0;0;0;0;0.0137931;0;0.00630915
web;0;0;0.014652;0;0;0.0186916;0;0;0;0.0125392
plugins;0;0;0;0;0.008;0;0;0;0;0.00630915
erreur;0;0;0;0;0;0;0;0;0;0.00316456
nécessaire;0;0;0.0288809;0.039801;0;0.0366972;0;0;0;0.0247678
voir;0;0;0;0;0;0;0;0;0;0.00316456
juste;0;0;0.014652;0;0;0;0;0.0272109;0;0.0125392
réduire;0;0;0;0;0;0;0;0;0;0.00316456
time;0;0;0.0288809;0;0.03125;0;0.0526316;0;0;0.0247678
mettre;0;0;0.014652;0.0203046;0;0;0;0;0;0.0125392
transaction;0;0;0;0;0;0;0;0;0;0.00316456
vente en ligne;0;0;0.014652;0;0.015873;0;0;0;0;0.0125392
isoler;0;0;0.00738007;0;0;0;0;0;0;0.00630915
bas niveau;0;0;0;0;0.008;0;0;0;0;0.00630915
process mining;0;0;0;0;0;0;0;0;0;0.00316456
commettre;0;0;0;0;0.008;0;0;0;0;0.00630915
validation;0;0;0;0;0;0;0;0;0;0.00316456
vouloir;0;0.0714286;0.0561404;0;0.0606061;0.0707965;0;0;0;0.0483384
rollback;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
généralement;0;0.00952381;0;0;0;0;0;0;0;0.00630915
mémoire ram;0;0.00952381;0;0;0;0;0;0;0;0.00630915
retrouver;0;0;0;0;0.015873;0.0186916;0;0;0;0.0125392
cohérent;0;0;0.014652;0;0;0.0186916;0;0;0;0.0125392
isolation;0;0;0;0;0;0;0;0;0.00970874;0.00630915
durabilité;0;0;0;0;0;0;0;0;0.00970874;0.00630915
jointures;0;0;0.00738007;0;0;0;0;0;0;0.00630915
correcte;0;0.0188679;0;0;0;0.0186916;0;0;0;0.0125392
finale;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
système d’exploitation;0;0;0;0;0;0.0186916;0;0;0.0192308;0.0125392
étrangères;0;0;0;0;0;0;0;0;0;0.00316456
innodb;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
modèle relationnel;0;0;0;0;0;0;0;0;0.00970874;0.00630915
relationnel;0;0;0.014652;0;0;0;0;0;0.0192308;0.0125392
perdre;0;0;0;0;0;0;0;0;0;0.00316456
oublier;0;0;0;0;0;0;0.0136986;0;0;0.00630915
compatible;0;0;0.00738007;0;0;0;0;0;0;0.00630915
université de rouen;0;0.00478469;0;0;0;0;0;0;0;0
france;0;0.00952381;0;0;0;0;0.0136986;0;0;0
évolué;0;0.00478469;0;0;0;0;0;0;0;0
manuel;0;0.00478469;0;0;0;0;0;0;0;0
français;0;0.00478469;0;0;0;0;0;0;0;0
attention;0;0.0188679;0.014652;0;0.015873;0;0;0;0;0
faute de frappe;0;0.00478469;0;0;0;0;0;0;0;0
entiers;0;0.0580357;0.0567376;0;0.0532319;0;0.08125;0;0.0639269;0
3.14;0;0.00952381;0;0;0.008;0;0;0;0;0
expr;0;0.00478469;0;0;0;0;0;0;0;0
spécifique;0;0.00478469;0;0;0;0;0;0;0;0
pointeur;0;0.00952381;0.00738007;0;0;0;0;0;0;0
list;0;0.037037;0.0288809;0.039801;0;0;0;0;0.0377358;0
inverse;0;0.00478469;0;0;0;0;0;0;0;0
trie;0;0.00478469;0;0;0;0;0;0;0;0
accès;0;0.00478469;0;0;0;0;0;0;0;0
strcmp;0;0.00952381;0.00738007;0;0;0;0;0;0;0
casse;0;0.00952381;0;0;0.008;0;0;0;0;0
occurence;0;0.00478469;0;0;0;0;0;0;0;0
décompte;0;0.0188679;0.014652;0;0;0.0186916;0;0;0;0
valeur de retour;0;0.037037;0.0288809;0;0;0.0366972;0;0;0.0377358;0
passage par référence;0;0.00952381;0;0.0102564;0;0;0;0;0;0
traiter;0;0.00478469;0;0;0;0;0;0;0;0
navigation;0;0.00952381;0;0.0102564;0;0;0;0;0;0
rouen;0;0.00478469;0;0;0;0;0;0;0;0
code postal;0;0.00952381;0;0;0;0.00943396;0;0;0;0
bouton radio;0;0.00952381;0;0;0;0.00943396;0;0;0;0
radio;0;0.037037;0;0.039801;0;0.0366972;0;0;0.0377358;0
multiple;0;0.00952381;0;0;0;0;0;0;0.00970874;0
touche ctrl;0;0.00478469;0;0;0;0;0;0;0;0
