;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
rollback bn:00133978n;0; 0; 0; 0; 0; 1; 
système d bn:04836299n;0; 0; 0; 0; 0; 1; 
verrou bn:01788633n;0; 0; 0; 0; 0; 1; 
panne bn:00059753n;0; 0; 0; 0; 0; 1; 
gérer bn:00084527v;0; 0; 0; 0; 0; 1; 
moteur bn:00030850n;0; 0; 0; 0; 0; 1; 
populaire bn:00108807a;0; 0; 0; 0; 0; 1; 
ouvrir bn:00084089v;0; 0; 0; 0; 0; 1; 
supporter bn:00083226v;0; 0; 0; 0; 0; 1; 
null bn:15898583n;0; 0; 0; 0; 0; 1; 
innodb bn:01067935n;0; 0; 0; 0; 0; 1; 
specification bn:00073217n;0; 0; 0; 0; 0; 1; 
cours en ligne bn:03617678n;0; 0; 0; 0; 0; 1; 
