X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
backslash bn:00988551n ; 0 ; 0.0108696 ; 0 ; 0.0116279 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
valeur numérique bn:00000451n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
numérique bn:00107649a ; 0 ; 0.0215054 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0.019802
list bn:04720346n ; 0 ; 0.0421053 ; 0 ; 0 ; 0 ; 0.0567376 ; 0.042328 ; 0 ; 0 ; 0 ; 0.038835
cmp bn:00119381n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
portée bn:03460088n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
globales bn:00103624a ; 0 ; 0.0421053 ; 0 ; 0.0449438 ; 0 ; 0.0567376 ; 0 ; 0 ; 0 ; 0 ; 0.038835
affiche bn:15173511n ; 0 ; 0.0215054 ; 0 ; 0 ; 0 ; 0.0291971 ; 0 ; 0 ; 0 ; 0 ; 0.019802
bloc bn:03098513n ; 0 ; 0.0108696 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
statiques bn:00111112a ; 0 ; 0.0421053 ; 0 ; 0 ; 0 ; 0.0567376 ; 0 ; 0.0481928 ; 0 ; 0 ; 0.038835
récursives bn:00109560a ; 0 ; 0.0215054 ; 0 ; 0 ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.019802
ambiguïté bn:00003266n ; 0 ; 0.0108696 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
méthode bn:01641329n ; 0 ; 0.176471 ; 0 ; 0 ; 0 ; 0.178771 ; 0.151111 ; 0.168317 ; 0.203125 ; 0.16875 ; 0.174468
disponibles bn:00097848a ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
query_string bn:03583474n ; 0 ; 0.0108696 ; 0 ; 0.0116279 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
integer bn:00691555n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.018018 ; 0
string bn:00050078n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
contraire bn:00100398a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
numéro de ligne bn:03406633n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
système d’exploitation bn:00059123n ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.01
linux bn:00051427n ; 0 ; 0.0215054 ; 0.0344828 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.019802
vrai bn:00078452n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
multiplication bn:00056300n ; 0 ; 0.0761421 ; 0.109375 ; 0 ; 0.0877193 ; 0 ; 0 ; 0.0804598 ; 0 ; 0 ; 0.0654206
division bn:00027919n ; 0 ; 0.0215054 ; 0 ; 0 ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.019802
concaténation bn:03489514n ; 0 ; 0.13615 ; 0 ; 0.138614 ; 0.15508 ; 0.169697 ; 0.136792 ; 0 ; 0 ; 0 ; 0.136564
bit bn:00010731n ; 0 ; 0.0108696 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
opérateur logiques bn:00051853n ; 0 ; 0.0215054 ; 0 ; 0 ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.019802
égal bn:00102336a ; 0 ; 0.0421053 ; 0 ; 0.0449438 ; 0 ; 0 ; 0 ; 0.0481928 ; 0 ; 0 ; 0.038835
après bn:00114165r ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
langage c bn:00014377n ; 0 ; 0.0215054 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0246914 ; 0 ; 0 ; 0.019802
appel de fonction bn:00036827n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
instruction vide bn:03112071n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
structure bn:00094491v ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
lisibilité bn:04849472n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
femme bn:00001530n ; 0 ; 0.0215054 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0353982 ; 0.019802
ressembler à bn:00092876v ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
premier bn:00103006a ; 0 ; 0.0108696 ; 0.0175439 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
boucle for bn:03237322n ; 0 ; 0.0421053 ; 0 ; 0 ; 0 ; 0.0567376 ; 0 ; 0 ; 0 ; 0.0683761 ; 0.038835
pouvoir bn:00084450v ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0125 ; 0 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0.025641 ; 0 ; 0
vouloir bn:00095629v ; 0 ; 0.0215054 ; 0 ; 0 ; 0 ; 0.0291971 ; 0.0216216 ; 0 ; 0 ; 0 ; 0
switch bn:01071927n ; 0 ; 0.387195 ; 0.230032 ; 0.342424 ; 0.3 ; 0.305466 ; 0.355224 ; 0.326154 ; 0.167224 ; 0.236246 ; 0.369186
reproduire bn:00092851v ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
substitution bn:03342494n ; 0 ; 0.0108696 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
valeur de retour bn:03828774n ; 0 ; 0.0808081 ; 0 ; 0 ; 0.0930233 ; 0.107383 ; 0.0812183 ; 0 ; 0 ; 0 ; 0.0747664
correct bn:00100490a ; 0 ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0.010929 ; 0 ; 0 ; 0 ; 0
carre bn:00036107n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
identique bn:00104508a ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
coeur bn:00017124n ; 0 ; 0.00546448 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
