X;C11;C15;C17;C19;C3;C5;C6;CJA
impossible;0.2;0.2;0;0;0.2;0.2;0.2;0.2
normale;0.030303;0.030303;0;0;0;0;0;0.030303
émettre;0.00775194;0;0;0;0;0;0;0
tel;0.00775194;0;0;0;0;0;0;0
intermédiaire;0.0153846;0;0;0;0;0;0;0.0153846
train;0.00775194;0;0;0;0;0;0;0
caractéristique;0.0588235;0;0;0;0;0.0588235;0.0588235;0.0588235
notamment;0.030303;0;0;0;0.030303;0.030303;0;0
grand nombre;0.0588235;0.0588235;0;0;0.0588235;0;0.0588235;0
maîtriser;0.00775194;0;0;0;0;0;0;0
fonction de base;0.0588235;0.0588235;0.0588235;0;0;0;0.0588235;0
angle;0.00775194;0;0;0;0;0;0;0
avérer;0.030303;0;0;0;0;0.030303;0;0.030303
déroulement;0.00775194;0;0;0;0;0;0;0
musique;0.0153846;0;0;0;0;0;0.0153846;0
acteurs;0.00775194;0;0;0;0;0;0;0
cerner;0.00775194;0;0;0;0;0;0;0
être étendue;0.00775194;0;0;0;0;0;0;0
public;0.2;0.2;0;0;0.2;0.2;0.2;0.2
supposition;0.00775194;0;0;0;0;0;0;0
confronter;0.00775194;0;0;0;0;0;0;0
intranet;0.0153846;0.0153846;0;0;0;0;0;0
avoir envie de;0.0153846;0;0;0;0;0;0.0153846;0
classe;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0;0.333333
dérouler;0.00775194;0;0;0;0;0;0;0
temps;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0
relation de un à un;0.00775194;0;0;0;0;0;0;0
démarrer;0.2;0.2;0.2;0.2;0.2;0;0.2;0
instanciation;0.00775194;0;0;0;0;0;0;0
modélisation;0.00775194;0;0;0;0;0;0;0
simplifier;0.030303;0;0.030303;0;0;0.030303;0;0
être utiles;0.2;0.2;0.2;0;0.2;0;0.2;0.2
potentiels;0.00775194;0;0;0;0;0;0;0
