concurrency;0.0;0.0;0.0;"(4224, 4234)";bn:00021615n
concurrency;0.0;0.0;0.0;"(4245, 4255)";bn:00021615n
orthogonal;0.0;0.0;0.0;"(4274, 4283)";bn:00102645a
product;0.0;0.0;0.0;"(4285, 4291)";bn:00054416n
orthogonal;0.0;0.0;0.0;"(4299, 4308)";bn:00102645a
product;0.0;0.0;0.0;"(4310, 4316)";bn:00054416n
default;0.0;0.0;0.0;"(4330, 4336)";bn:00025848n
states;0.0;0.0;0.0;"(4338, 4343)";bn:00064914n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(4356, 4358)";bn:03752309n
event;0.0;0.0;0.0;"(4370, 4374)";bn:00032021n
state;0.0;0.0;0.0;"(4402, 4406)";bn:00064914n
state;0.0;0.0;0.0;"(4412, 4416)";bn:00064914n
synchronised;1.0;0.002936857562408223;4.96180337603748E-8;"(4439, 4450)";bn:00111580a
event;0.0;0.0;0.0;"(4461, 4465)";bn:00032021n
state;0.0;0.0;0.0;"(4512, 4516)";bn:00064914n
independent;0.0;0.0;0.0;"(4526, 4536)";bn:00104928a
default;0.0;0.0;0.0;"(4541, 4547)";bn:00025848n
states;0.0;0.0;0.0;"(4549, 4554)";bn:00064914n
state;0.0;0.0;0.0;"(4587, 4591)";bn:00064914n
state;0.0;0.0;0.0;"(4597, 4601)";bn:00064914n
synchronized;0.0;0.0;0.0;"(4616, 4627)";bn:00094702v
event;0.0;0.0;0.0;"(4664, 4668)";bn:00032021n
seen;0.0;0.0;0.0;"(4670, 4673)";bn:00093430v
example;0.0;0.0;0.0;"(4716, 4722)";bn:00032099n
specify;0.0;0.0;0.0;"(4726, 4732)";bn:00085560v
alarm;0.0;0.0;0.0;"(4751, 4755)";bn:00002410n
clock;0.0;0.0;0.0;"(4757, 4761)";bn:00019887n
assumptions;0.0;0.0;0.0;"(4784, 4794)";bn:00006558n
alarm;0.0;0.0;0.0;"(4801, 4805)";bn:00002410n
clock;0.0;0.0;0.0;"(4807, 4811)";bn:00019887n
buttons;0.0;0.0;0.0;"(4815, 4821)";bn:00014305n
example;0.0;0.0;0.0;"(4827, 4833)";bn:00032099n
start;0.0;0.0;0.0;"(4837, 4841)";bn:00073989n
setting;0.0;0.0;0.0;"(4843, 4849)";bn:00090224v
need;0.0;0.0;0.0;"(4871, 4874)";bn:00026107n
set;0.0;0.0;0.0;"(4876, 4878)";bn:00090224v
hours;0.0;0.0;0.0;"(4880, 4884)";bn:00000127n
minutes;0.0;0.0;0.0;"(4887, 4893)";bn:00055094n
need;0.0;0.0;0.0;"(4905, 4908)";bn:00026107n
button;0.0;0.0;0.0;"(4917, 4922)";bn:00014305n
set;0.0;0.0;0.0;"(4948, 4950)";bn:00090224v
button;0.0;0.0;0.0;"(4965, 4970)";bn:00014305n
blink;0.0;0.0;0.0;"(4976, 4980)";bn:00011275n
hour;0.0;0.0;0.0;"(4982, 4985)";bn:00000127n
button;0.0;0.0;0.0;"(4987, 4992)";bn:00014305n
button;0.0;0.0;0.0;"(5006, 5011)";bn:00014305n
hour;0.0;0.0;0.0;"(5015, 5018)";bn:00000127n
button;0.0;0.0;0.0;"(5020, 5025)";bn:00014305n
button;0.0;0.0;0.0;"(5029, 5034)";bn:00014305n
button;0.0;0.0;0.0;"(5038, 5043)";bn:00014305n
blink;0.0;0.0;0.0;"(5049, 5053)";bn:00011275n
minutes;0.0;0.0;0.0;"(5055, 5061)";bn:00055094n
button;0.0;0.0;0.0;"(5063, 5068)";bn:00014305n
button;0.0;0.0;0.0;"(5072, 5077)";bn:00014305n
button;0.0;0.0;0.0;"(5081, 5086)";bn:00014305n
button;0.0;0.0;0.0;"(5090, 5095)";bn:00014305n
blink;0.0;0.0;0.0;"(5101, 5105)";bn:00011275n
button;0.0;0.0;0.0;"(5114, 5119)";bn:00014305n
set;0.0;0.0;0.0;"(5135, 5137)";bn:00070696n
button;0.0;0.0;0.0;"(5139, 5144)";bn:00014305n
minutes;0.0;0.0;0.0;"(5158, 5164)";bn:00055094n
button;0.0;0.0;0.0;"(5166, 5171)";bn:00014305n
button;0.0;0.0;0.0;"(5192, 5197)";bn:00014305n
example;0.0;0.0;0.0;"(5204, 5210)";bn:00032099n
continued;0.0;0.0;0.0;"(5213, 5221)";bn:00085714v
consider;0.0;0.0;0.0;"(5229, 5236)";bn:00085647v
setting;0.0;0.0;0.0;"(5238, 5244)";bn:00090224v
alarm;0.0;0.0;0.0;"(5250, 5254)";bn:00002410n
set;0.0;0.0;0.0;"(5262, 5264)";bn:00090224v
