X;C11;C15;C17;C19;C3;C5;C6
timestamp;0.111111;0.111111;0;0;0.111111;0.111111;0
program files;0.030303;0.030303;0;0;0;0;0
root;0.030303;0;0;0;0;0.030303;0
machine;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
utilisateur root;0.0153846;0;0;0;0;0;0
administrateur;0.2;0.2;0.2;0.2;0.2;0;0
désinstallation;0.2;0.2;0.2;0.2;0;0.2;0
easyphp;0.2;0.2;0.2;0.2;0.2;0;0
casse;0.111111;0.111111;0.111111;0;0;0.111111;0
niveau logique;0.0153846;0;0;0;0;0;0
séquence;0.111111;0.111111;0;0;0.111111;0;0.111111
sauvegarder;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
supprimer;0.0588235;0.0588235;0;0.0588235;0;0;0
évoquer;0.0153846;0;0;0;0;0;0
clé primaire;0.0588235;0;0;0.0588235;0;0.0588235;0
structure;0.0588235;0;0.0588235;0;0.0588235;0;0
jour;0.2;0.2;0;0.2;0.2;0;0.2
insert;0.2;0.2;0;0.2;0.2;0;0.2
existence;0.030303;0;0;0;0;0.030303;0
contrainte;0.0588235;0;0;0.0588235;0.0588235;0;0
delete;0.333333;0.333333;0;0.333333;0.333333;0.333333;0.333333
mise à jour;0.0588235;0;0;0.0588235;0.0588235;0;0
générateur;0.0153846;0;0;0;0;0;0
générateur de code;0.0153846;0;0;0;0;0;0
connaissance;0.0153846;0;0;0;0;0;0
menu contextuel;0.030303;0.030303;0;0;0;0;0
visualiser;0.111111;0.111111;0.111111;0.111111;0;0;0
fines;0.0153846;0;0;0;0;0;0
penser à;0.0153846;0;0;0;0;0;0
générale;0.2;0.2;0.2;0.2;0;0;0.2
deux;0.030303;0;0;0;0.030303;0;0
plusieurs;0.0153846;0;0;0;0;0;0
assemblage;0.0153846;0;0;0;0;0;0
spécifiques;0.0153846;0;0;0;0;0;0
caractère génériques;0.0153846;0;0;0;0;0;0
filtrage;0.030303;0;0;0;0;0.030303;0
limiter;0.030303;0;0;0;0;0;0.030303
critère;0.111111;0.111111;0.111111;0;0.111111;0;0
doublon;0.0153846;0;0;0;0;0;0
conceptuel;0.0153846;0;0;0;0;0;0
vertu;0.0153846;0;0;0;0;0;0
jointure;0.030303;0;0;0;0.030303;0;0
fusionner;0.0153846;0;0;0;0;0;0
ambiguïtés;0.0588235;0;0.0588235;0;0.0588235;0;0
pouvoir;0.111111;0.111111;0;0.111111;0;0;0.111111
naître;0.0153846;0;0;0;0;0;0
exister;0.0588235;0;0;0;0.0588235;0;0.0588235
bibliographie;0.0153846;0;0;0;0;0;0
type de valeurs;0.030303;0;0;0;0.030303;0;0
concret;0.0153846;0;0;0;0;0;0
impossible;0.111111;0.111111;0;0;0.111111;0.111111;0
normale;0.030303;0.030303;0;0;0;0;0
émettre;0.0153846;0;0;0;0;0;0
tel;0.0153846;0;0;0;0;0;0
intermédiaire;0.0153846;0;0;0;0;0;0
train;0.0153846;0;0;0;0;0;0
caractéristique;0.030303;0;0;0;0;0.030303;0
notamment;0.0588235;0;0;0;0.0588235;0.0588235;0
grand nombre;0.111111;0.111111;0;0;0.111111;0;0.111111
maîtriser;0.0153846;0;0;0;0;0;0
fonction de base;0.111111;0.111111;0.111111;0;0;0;0.111111
angle;0.0153846;0;0;0;0;0;0
avérer;0.030303;0;0;0;0;0.030303;0
déroulement;0.0153846;0;0;0;0;0;0
musique;0.0153846;0;0;0;0;0;0
acteurs;0.0153846;0;0;0;0;0;0
cerner;0.0153846;0;0;0;0;0;0
être étendue;0.0153846;0;0;0;0;0;0
public;0.111111;0.111111;0;0;0.111111;0.111111;0
supposition;0.0153846;0;0;0;0;0;0
confronter;0.0153846;0;0;0;0;0;0
intranet;0.030303;0.030303;0;0;0;0;0
avoir envie de;0.030303;0;0;0;0;0;0.030303
classe;0.5;0.5;0.5;0.5;0.5;0.5;0.5
dérouler;0.0153846;0;0;0;0;0;0
temps;0.5;0.5;0.5;0.5;0.5;0.5;0.5
relation de un à un;0.0153846;0;0;0;0;0;0
démarrer;0.333333;0.333333;0.333333;0.333333;0.333333;0;0.333333
instanciation;0.0153846;0;0;0;0;0;0
modélisation;0.0153846;0;0;0;0;0;0
simplifier;0.0588235;0;0.0588235;0;0;0.0588235;0
être utiles;0.2;0.2;0.2;0;0.2;0;0.2
potentiels;0.0153846;0;0;0;0;0;0
coordonnées;0.030303;0;0;0;0.030303;0;0
donner naissance;0.0153846;0;0;0;0;0;0
primaire;0.0153846;0;0;0;0;0;0
