;C11;C15;C17;C19;C3;C5;C6
phrase bn:00070528n;1; 1; 0; 1; 1; 1; 0; 
faire fonctionner bn:00095818v;1; 1; 0; 1; 1; 1; 1; 
fichier exécutable bn:00058456n;1; 1; 0; 1; 1; 1; 1; 
informatique bn:00021494n;1; 1; 0; 1; 1; 0; 0; 
oeil bn:00032512n;1; 1; 0; 1; 0; 1; 1; 
installeur bn:04765029n;1; 1; 0; 1; 1; 1; 1; 
menu démarrer bn:01348084n;1; 1; 0; 1; 1; 1; 1; 
remédier bn:00092897v;1; 1; 0; 0; 1; 1; 1; 
copier bn:00022534n;1; 1; 0; 1; 1; 1; 0; 
disque dur bn:00073359n;1; 1; 0; 0; 1; 1; 0; 
windows 9x bn:03215206n;1; 1; 0; 1; 1; 1; 1; 
ms-dos bn:00054790n;1; 1; 0; 1; 1; 1; 1; 
renommer bn:00092787v;1; 1; 0; 1; 0; 0; 1; 
sous-répertoire bn:00074880n;1; 1; 0; 0; 1; 1; 0; 
faq bn:00033653n;1; 1; 0; 1; 1; 1; 0; 
forum bn:14251420n;1; 1; 0; 0; 0; 1; 1; 
précédemment bn:00114297r;1; 1; 0; 1; 1; 1; 1; 
réels bn:00066395n;1; 1; 0; 1; 0; 1; 1; 
double précision bn:03333822n;1; 1; 0; 1; 1; 1; 1; 
caractère de contrôle bn:00006271n;1; 1; 0; 1; 1; 1; 1; 
variable de type bn:02158332n;1; 1; 0; 0; 1; 1; 1; 
autant bn:00116285r;1; 1; 0; 1; 1; 1; 1; 
nom de famille bn:00020465n;1; 1; 0; 1; 1; 1; 1; 
confiner bn:00085580v;1; 1; 0; 1; 1; 1; 1; 
importe bn:00089626v;1; 1; 0; 1; 1; 1; 1; 
locale bn:03080237n;1; 1; 0; 1; 0; 1; 1; 
lisibilité bn:04849472n;1; 1; 0; 1; 1; 1; 1; 
soustraire bn:00086432v;1; 1; 0; 1; 0; 1; 1; 
opérateur de multiplication bn:03875252n;1; 1; 0; 1; 1; 1; 1; 
reste bn:00027024n;1; 1; 0; 1; 1; 1; 1; 
exclusif bn:00102513a;1; 1; 0; 1; 1; 1; 1; 
égale bn:00021326n;1; 1; 0; 0; 0; 1; 1; 
opérateur de différence bn:03113411n;1; 1; 0; 1; 1; 1; 1; 
binaire bn:00098398a;1; 1; 0; 0; 1; 1; 1; 
insérer bn:00087594v;1; 1; 0; 1; 0; 1; 1; 
conservation bn:00021967n;1; 1; 0; 1; 1; 1; 1; 
propriete bn:00064755n;1; 1; 0; 1; 1; 1; 1; 
compliqué bn:00085483v;1; 1; 0; 1; 1; 1; 0; 
exécutée bn:00091723v;1; 1; 0; 1; 0; 1; 1; 
basiquement bn:00114508r;1; 1; 0; 1; 1; 1; 1; 
boucle infinie bn:03212525n;1; 1; 0; 0; 1; 1; 1; 
infinie bn:00104922a;1; 1; 0; 1; 1; 1; 1; 
mettre fin à bn:00087608v;1; 1; 0; 1; 1; 1; 1; 
division par zéro bn:01104287n;1; 1; 0; 1; 1; 1; 1; 
dénominateur bn:00026249n;1; 1; 0; 1; 1; 1; 1; 
équation bn:00031293n;1; 1; 0; 1; 1; 1; 1; 
utile bn:00113456a;1; 1; 0; 1; 0; 1; 1; 
fonction récursive bn:02003316n;1; 1; 0; 1; 1; 1; 1; 
récursive bn:00109560a;1; 1; 0; 1; 1; 1; 0; 
facultatifs bn:00096552a;1; 1; 0; 1; 1; 1; 1; 
modifier bn:00003127n;1; 1; 0; 1; 0; 1; 1; 
camion bn:00056059n;1; 1; 0; 1; 1; 1; 1; 
passage par référence bn:14985956n;1; 1; 0; 1; 1; 1; 1; 
adresse mémoire bn:03376710n;1; 1; 0; 1; 1; 1; 1; 
arborescence bn:00521890n;1; 1; 0; 1; 1; 1; 1; 
essentiel bn:00017124n;1; 1; 0; 1; 1; 1; 1; 
encapsulation bn:01505556n;1; 1; 0; 1; 1; 1; 1; 
faire référence bn:00085006v;1; 1; 0; 1; 0; 1; 1; 
limitation bn:00051252n;1; 1; 0; 1; 0; 1; 1; 
limiter point de bn:00051249n;1; 1; 0; 1; 1; 1; 1; 
page web dynamiques bn:00937946n;1; 1; 0; 1; 1; 1; 0; 
notation binaire bn:00010480n;1; 1; 0; 1; 1; 1; 1; 
périmètre bn:00012213n;1; 1; 0; 1; 1; 1; 1; 
cercle bn:00019169n;1; 1; 0; 1; 0; 1; 0; 
adresse bn:00082338v;1; 1; 0; 1; 1; 1; 1; 
compatible bn:00100128a;1; 1; 0; 1; 0; 1; 1; 
msie bn:17346309n;1; 1; 0; 0; 1; 0; 1; 
tucows bn:03118753n;1; 1; 0; 1; 1; 1; 1; 
i686 bn:00892880n;1; 1; 0; 1; 1; 1; 1; 
document web bn:03606607n;1; 1; 0; 1; 1; 1; 1; 
numéro de port bn:03277793n;1; 1; 0; 1; 1; 1; 1; 
append bn:03181108n;1; 1; 0; 1; 1; 1; 1; 
écrit bn:00113957a;1; 1; 0; 1; 1; 1; 1; 
traiter bn:00092034v;1; 1; 0; 1; 1; 1; 1; 
traiter de bn:00083202v;1; 1; 0; 1; 1; 1; 0; 
fp bn:03511773n;1; 1; 0; 1; 1; 1; 1; 
éventuellement bn:00116658r;1; 1; 0; 1; 1; 1; 1; 
intégralité bn:00031025n;1; 1; 0; 1; 1; 1; 0; 
fin de fichier bn:02781064n;1; 1; 0; 1; 0; 1; 1; 
fonction test bn:03308625n;1; 1; 0; 1; 1; 1; 1; 
lien symbolique bn:01044905n;1; 1; 0; 1; 0; 1; 1; 
symbolique bn:00111563a;1; 1; 0; 1; 1; 1; 1; 
rappel bn:03490040n;1; 1; 0; 0; 0; 0; 0; 
wamp bn:01708928n;1; 1; 1; 0; 0; 0; 1; 
objectif bn:00030721n;1; 1; 1; 0; 1; 1; 1; 
outil de développement bn:03072994n;1; 1; 1; 0; 1; 1; 0; 
wampserver bn:03978910n;1; 1; 1; 0; 1; 1; 1; 
mamp bn:03197470n;1; 1; 1; 0; 1; 0; 1; 
standard bn:00111131a;1; 1; 1; 0; 1; 1; 1; 
factorisation bn:04798264n;1; 1; 1; 0; 1; 1; 1; 
edition bn:00065108n;1; 1; 1; 0; 1; 1; 1; 
fichier zip bn:01144723n;1; 1; 1; 0; 1; 1; 1; 
newsletter bn:00057561n;1; 1; 1; 0; 1; 1; 1; 
faille de sécurité bn:00080285n;1; 1; 1; 0; 1; 0; 1; 
web 2.0 bn:15262517n;1; 1; 1; 0; 1; 1; 1; 
partie bn:00037180n;1; 1; 1; 0; 1; 0; 1; 
back-office bn:01367276n;1; 1; 1; 0; 1; 1; 1; 
langage serveur bn:02290731n;1; 1; 1; 0; 1; 1; 1; 
c# bn:01673672n;1; 1; 1; 0; 1; 1; 1; 
ruby bn:01928079n;1; 1; 1; 0; 1; 1; 1; 
mariadb bn:01841320n;1; 1; 1; 0; 1; 1; 1; 
framework bn:14831528n;1; 1; 1; 0; 1; 0; 1; 
symfony bn:02798620n;1; 1; 1; 0; 1; 0; 1; 
laravel bn:02935312n;1; 1; 1; 0; 1; 0; 1; 
jee bn:03173395n;1; 1; 1; 0; 1; 1; 1; 
rubyonrails bn:00627870n;1; 1; 1; 0; 1; 1; 1; 
django bn:01551307n;1; 1; 1; 0; 1; 0; 1; 
firefox bn:01387235n;1; 1; 1; 0; 1; 0; 1; 
safari bn:00907501n;1; 1; 1; 0; 1; 0; 1; 
remarque bn:00020977n;1; 1; 1; 0; 1; 1; 1; 
ajax bn:00850961n;1; 1; 1; 0; 1; 1; 1; 
visiteur bn:03106425n;1; 1; 1; 0; 0; 1; 0; 
doctype bn:15839327n;1; 1; 1; 0; 1; 0; 1; 
p2 bn:00751536n;1; 1; 1; 0; 1; 1; 1; 
sélecteur bn:00027461n;1; 1; 1; 0; 1; 1; 1; 
faux texte bn:01172045n;1; 1; 1; 0; 1; 1; 1; 
google bn:00212508n;1; 1; 1; 0; 1; 1; 1; 
numéro de téléphone bn:00058286n;1; 1; 1; 0; 1; 1; 0; 
palette bn:00060279n;1; 1; 1; 0; 1; 1; 1; 
brackets bn:17142292n;1; 1; 1; 0; 1; 1; 1; 
interface utilisateur bn:00047088n;1; 1; 1; 0; 1; 1; 1; 
mac bn:00052516n;1; 1; 1; 0; 0; 0; 1; 
xampp bn:02350502n;1; 1; 1; 0; 0; 0; 1; 
chrome bn:00018877n;1; 1; 1; 0; 1; 0; 1; 
sublime text bn:02634439n;1; 1; 1; 0; 1; 1; 1; 
double clic bn:00625364n;1; 1; 1; 0; 1; 1; 1; 
zone de notification bn:03216613n;1; 1; 1; 0; 1; 1; 1; 
rentrer bn:00089764v;1; 1; 1; 0; 1; 1; 1; 
cliquer bn:00085112v;1; 1; 1; 0; 0; 1; 0; 
accès direct bn:01912124n;1; 1; 1; 0; 1; 1; 1; 
amp bn:03635624n;1; 1; 1; 0; 1; 1; 1; 
lancer bn:00014799n;1; 1; 1; 0; 1; 1; 1; 
charger bn:00090416v;1; 1; 1; 0; 1; 1; 1; 
explication bn:00000741n;1; 1; 1; 0; 1; 1; 1; 
fait bn:00032655n;1; 1; 1; 0; 1; 1; 0; 
guillemet bn:00047350n;1; 1; 1; 0; 1; 1; 1; 
veut bn:00080435n;1; 1; 1; 0; 1; 1; 1; 
parameter bn:00005603n;1; 1; 1; 0; 0; 1; 1; 
essayer bn:00082844v;1; 1; 1; 0; 1; 0; 0; 
répéter bn:00089731v;1; 1; 1; 0; 0; 0; 1; 
sûr bn:00099479a;1; 1; 1; 0; 1; 1; 1; 
thématique bn:00111800a;1; 1; 1; 0; 1; 1; 1; 
carte de crédit bn:00017800n;1; 1; 1; 0; 1; 1; 1; 
humain bn:00104389a;1; 1; 1; 0; 1; 1; 1; 
moteurs de recherche bn:13956658n;1; 1; 1; 0; 0; 1; 1; 
traitement texte bn:00081559n;1; 1; 1; 0; 1; 1; 1; 
service web bn:03829842n;1; 1; 1; 0; 1; 0; 1; 
constantes bn:00100331a;1; 1; 1; 0; 0; 1; 1; 
goto bn:01643893n;1; 1; 1; 0; 1; 1; 1; 
calcul mathématique bn:00014689n;1; 1; 1; 0; 1; 1; 1; 
environnement de développement bn:00748100n;1; 1; 1; 0; 1; 1; 1; 
puce bn:03415182n;1; 1; 1; 0; 1; 0; 1; 
tableau périodique bn:00061616n;1; 1; 1; 0; 1; 1; 1; 
manipulation bn:00042822n;1; 1; 1; 0; 1; 1; 0; 
doc bn:17202928n;1; 1; 1; 0; 1; 0; 0; 
barack bn:03330021n;1; 1; 1; 0; 1; 1; 1; 
unaires bn:00112334a;1; 1; 1; 0; 1; 1; 1; 
sans bn:00025713n;1; 1; 1; 0; 0; 1; 1; 
carrés bn:00111084a;1; 1; 1; 0; 1; 1; 1; 
fonctionnement bn:00059128n;1; 1; 1; 0; 1; 1; 1; 
arrondi bn:00068407n;1; 1; 1; 0; 1; 1; 1; 
sin bn:00497993n;1; 1; 1; 0; 1; 1; 1; 
length bn:00051955n;1; 1; 1; 0; 1; 1; 1; 
extraction bn:04915718n;1; 1; 1; 0; 1; 1; 1; 
trim bn:00074703n;1; 1; 1; 0; 0; 0; 0; 
formater bn:00082780v;1; 1; 1; 0; 0; 1; 1; 
scan bn:04833056n;1; 1; 1; 0; 1; 1; 1; 
aurélien bn:03956593n;1; 1; 1; 0; 1; 1; 1; 
revue bn:00052671n;1; 1; 1; 0; 1; 0; 1; 
majuscule bn:00015499n;1; 1; 1; 0; 1; 0; 0; 
strcmp bn:13958358n;1; 1; 1; 0; 0; 1; 1; 
struct bn:03890907n;1; 1; 1; 0; 1; 1; 1; 
chimie bn:00018123n;1; 1; 1; 0; 1; 1; 1; 
chimique bn:00099578a;1; 1; 1; 0; 1; 1; 1; 
hydrogène bn:00006823n;1; 1; 1; 0; 1; 1; 1; 
helium bn:00006849n;1; 1; 1; 0; 1; 1; 1; 
tata bn:00007182n;1; 1; 1; 0; 1; 1; 1; 
manipulation bn:00053225n;1; 1; 1; 0; 1; 1; 0; 
sizeof bn:03205994n;1; 1; 1; 0; 1; 1; 1; 
inverse bn:00056301n;1; 1; 1; 0; 1; 1; 1; 
cle bn:04756252n;1; 1; 1; 0; 0; 1; 1; 
mélanger bn:00055400n;1; 1; 1; 0; 1; 1; 1; 
employe bn:14292888n;1; 1; 1; 0; 1; 1; 1; 
général bn:00036772n;1; 1; 1; 0; 1; 1; 1; 
static bn:16860016n;1; 1; 1; 0; 1; 1; 1; 
affiche bn:00010417n;1; 1; 1; 0; 1; 1; 1; 
basique bn:00098086a;1; 1; 1; 0; 1; 1; 1; 
xss bn:01750327n;1; 1; 1; 0; 1; 1; 1; 
aide en ligne bn:00373932n;1; 1; 1; 0; 1; 1; 1; 
nouveau bn:00107269a;1; 1; 1; 0; 1; 1; 1; 
env bn:01199166n;1; 1; 1; 0; 0; 0; 1; 
autoriser bn:00087691v;1; 1; 1; 0; 1; 1; 1; 
htaccess bn:03356732n;1; 1; 1; 0; 1; 1; 1; 
personnaliser bn:00089686v;1; 1; 1; 0; 1; 1; 1; 
information confidentielle bn:01876334n;1; 1; 1; 0; 1; 1; 1; 
info bn:00046698n;1; 1; 1; 0; 1; 1; 1; 
teste bn:00008124n;1; 1; 1; 0; 1; 1; 1; 
apple bn:03739345n;1; 1; 1; 0; 1; 1; 1; 
laisser passer bn:00088862v;1; 1; 1; 0; 1; 1; 1; 
euro bn:00031888n;1; 1; 1; 0; 1; 1; 1; 
bon mot bn:03180939n;1; 1; 1; 0; 1; 1; 1; 
papier bn:00060464n;1; 1; 1; 0; 1; 1; 1; 
crypté bn:00024180n;1; 1; 1; 0; 1; 1; 1; 
gris bn:00041510n;1; 1; 1; 0; 1; 1; 1; 
organisation bn:00059480n;1; 1; 1; 0; 1; 1; 1; 
savoir bn:00085261v;1; 1; 1; 0; 1; 1; 1; 
bouillir bn:00083740v;1; 1; 1; 0; 1; 1; 1; 
doter bn:00082380v;1; 1; 1; 0; 1; 1; 1; 
particulièrement bn:00117094r;1; 1; 1; 0; 1; 1; 1; 
ip bn:00046704n;1; 1; 1; 0; 0; 1; 1; 
fichier par bn:03318531n;1; 1; 1; 0; 0; 1; 1; 
size bn:03645138n;1; 1; 1; 0; 0; 0; 1; 
fichier temporaire bn:03462927n;1; 1; 1; 0; 0; 1; 1; 
nombrer bn:00085859v;1; 1; 1; 0; 1; 1; 1; 
france bn:00036202n;1; 1; 1; 0; 1; 1; 1; 
formulaire bn:14352118n;1; 1; 1; 0; 1; 1; 1; 
indexer bn:00089679v;1; 1; 1; 0; 1; 1; 1; 
exercice bn:00032045n;1; 1; 1; 0; 1; 1; 1; 
jaune bn:00081866n;1; 1; 1; 0; 1; 1; 1; 
guides de style bn:00839511n;1; 1; 1; 0; 1; 1; 1; 
terminologie bn:00049915n;1; 1; 1; 0; 1; 1; 1; 
realisateur bn:00027369n;1; 1; 1; 0; 1; 0; 1; 
déboguer bn:00086348v;1; 1; 1; 0; 1; 1; 1; 
ajouter bn:00082317v;1; 1; 1; 0; 1; 1; 1; 
consultation bn:13996156n;1; 1; 1; 0; 1; 1; 1; 
artiste bn:00006182n;1; 1; 1; 0; 1; 1; 1; 
problématique bn:00097982a;1; 1; 1; 0; 1; 1; 0; 
design pattern bn:00890994n;1; 1; 1; 0; 1; 1; 1; 
routeur bn:00068417n;1; 1; 1; 0; 1; 1; 1; 
null bn:15898583n;1; 1; 1; 0; 1; 0; 0; 
innodb bn:01067935n;1; 1; 1; 0; 0; 1; 1; 
sauvegarde bn:00007838n;1; 1; 1; 0; 0; 1; 0; 
fichier csv bn:03284335n;1; 1; 1; 0; 0; 1; 1; 
ddl bn:03211403n;1; 1; 1; 0; 1; 1; 1; 
contrainte d’intégrité bn:03141748n;1; 1; 1; 0; 0; 1; 1; 
data source name bn:03804134n;1; 1; 1; 0; 1; 1; 0; 
générique bn:00103518a;1; 1; 1; 0; 0; 1; 1; 
libérer bn:00090300v;1; 1; 1; 0; 1; 1; 1; 
rollback bn:00133978n;1; 1; 1; 0; 0; 0; 1; 
film bn:00034471n;1; 1; 1; 0; 1; 1; 1; 
king vidor bn:03533649n;1; 1; 1; 0; 1; 1; 1; 
phase bn:00061898n;1; 1; 1; 0; 1; 0; 0; 
interface graphique bn:00041418n;1; 1; 1; 0; 1; 1; 1; 
woody allen bn:00002833n;1; 1; 1; 0; 1; 1; 1; 
cinema bn:00019131n;1; 1; 1; 0; 1; 1; 1; 
autre bn:03870834n;1; 1; 1; 0; 0; 1; 1; 
architecture bn:00005442n;1; 1; 1; 0; 0; 0; 1; 
jelix bn:03981896n;1; 1; 1; 0; 1; 1; 1; 
zend framework bn:03229476n;1; 1; 1; 0; 1; 1; 1; 
véritable bn:00101997a;1; 1; 1; 0; 1; 1; 1; 
chef d’orchestre bn:00021678n;1; 1; 1; 0; 1; 1; 1; 
échanger bn:00008735n;1; 1; 1; 0; 1; 1; 1; 
blog bn:00011339n;1; 1; 1; 0; 1; 1; 1; 
singleton bn:03495688n;1; 1; 1; 0; 1; 1; 1; 
recréer bn:00092546v;1; 1; 1; 0; 1; 1; 0; 
sous-repertoire bn:04897656n;1; 1; 1; 0; 1; 1; 1; 
front bn:00013389n;1; 1; 1; 0; 1; 1; 1; 
controleur bn:00022289n;1; 1; 1; 0; 1; 0; 1; 
page bn:00060158n;1; 1; 1; 1; 0; 1; 1; 
base bn:00008786n;1; 1; 1; 1; 0; 1; 1; 
précédence bn:01410322n;1; 1; 1; 1; 0; 1; 1; 
strftime bn:03338250n;1; 1; 1; 1; 0; 0; 1; 
numériques bn:00107651a;1; 1; 1; 1; 0; 1; 1; 
enum bn:02324948n;1; 1; 1; 1; 0; 1; 1; 
fulltext bn:00508617n;1; 1; 1; 1; 0; 1; 1; 
sortie standard bn:01496506n;1; 1; 1; 1; 0; 0; 1; 
comparer bn:00085450v;1; 1; 1; 1; 0; 1; 1; 
rectangle bn:00066608n;1; 1; 1; 1; 0; 1; 1; 
polygones bn:00063423n;1; 1; 1; 1; 0; 1; 1; 
opérateur bn:16281811n;1; 1; 1; 1; 0; 1; 1; 
nouveauté bn:00049321n;1; 1; 1; 1; 0; 1; 1; 
inspirer bn:00084021v;1; 1; 1; 1; 0; 1; 1; 
contributeurs bn:04850445n;1; 1; 1; 1; 0; 1; 1; 
extensible bn:00102618a;1; 1; 1; 1; 0; 1; 1; 
cohérente bn:00099970a;1; 1; 1; 1; 0; 1; 1; 
mai bn:00053941n;1; 1; 1; 1; 0; 1; 1; 
banque bn:00008364n;1; 1; 1; 1; 0; 1; 1; 
publication en ligne bn:01180578n;1; 1; 1; 1; 0; 1; 1; 
incorporer bn:00089664v;1; 1; 1; 1; 0; 1; 1; 
semblant bn:00045960n;1; 1; 1; 1; 0; 1; 1; 
jscript bn:01995344n;1; 1; 1; 1; 0; 1; 1; 
portage bn:01430733n;1; 1; 1; 1; 0; 1; 1; 
plate-forme bn:00062900n;1; 1; 1; 1; 0; 1; 1; 
répertoire personnel bn:02102310n;1; 1; 1; 1; 0; 1; 1; 
employer bn:00030616n;1; 1; 1; 1; 0; 0; 1; 
xhtml bn:01163644n;1; 1; 1; 1; 0; 1; 1; 
mozilla bn:01297088n;1; 1; 1; 1; 0; 1; 1; 
galeon bn:00496122n;1; 1; 1; 1; 0; 1; 1; 
konqueror bn:16498221n;1; 1; 1; 1; 0; 1; 1; 
bordélique bn:00110762a;1; 1; 1; 1; 0; 1; 1; 
souple bn:00102069a;1; 1; 1; 1; 0; 1; 1; 
signe égal bn:00031280n;1; 1; 1; 1; 0; 1; 1; 
dynamique bn:00101917a;1; 1; 1; 1; 0; 1; 1; 
puissance de 10 bn:05006238n;1; 1; 1; 1; 0; 1; 1; 
unicode bn:02529895n;1; 1; 1; 1; 0; 1; 1; 
lf bn:00050913n;1; 1; 1; 1; 0; 1; 1; 
val bn:00079476n;1; 1; 1; 1; 0; 1; 1; 
table de hachage bn:00587820n;1; 1; 1; 1; 0; 1; 1; 
hachage bn:00583146n;1; 1; 1; 1; 0; 0; 1; 
pile bn:02100952n;1; 1; 1; 1; 0; 0; 1; 
volée bn:00035208n;1; 1; 1; 1; 0; 1; 1; 
casse bn:00083919v;1; 1; 1; 1; 0; 1; 1; 
croître bn:00089082v;1; 1; 1; 1; 0; 1; 1; 
associativité bn:00533203n;1; 1; 1; 1; 0; 1; 1; 
division par deux bn:03686939n;1; 1; 1; 1; 0; 1; 1; 
homologue bn:00023208n;1; 1; 1; 1; 0; 1; 1; 
couvrir bn:00085916v;1; 1; 1; 1; 0; 1; 1; 
conteneur bn:03305154n;1; 1; 1; 1; 0; 1; 1; 
choix multiples bn:03455699n;1; 1; 1; 1; 0; 1; 1; 
vin bn:00080022n;1; 1; 1; 1; 0; 1; 1; 
hiver bn:00081370n;1; 1; 1; 1; 0; 1; 1; 
siècle bn:00017234n;1; 1; 1; 1; 0; 1; 1; 
intervalle bn:00047229n;1; 1; 1; 1; 0; 1; 1; 
semaine 1 bn:04756861n;1; 1; 1; 1; 0; 1; 1; 
abréviation bn:00000239n;1; 1; 1; 1; 0; 1; 1; 
littéral bn:00106042a;1; 1; 1; 1; 0; 1; 0; 
september bn:15649592n;1; 1; 1; 1; 0; 1; 1; 
semaine 3 bn:04756880n;1; 1; 1; 1; 0; 1; 1; 
mysql ab bn:03198967n;1; 1; 1; 1; 0; 1; 1; 
support technique bn:03482340n;1; 1; 1; 1; 0; 1; 1; 
sqlplus bn:02088255n;1; 1; 1; 1; 0; 1; 1; 
intuitif bn:00047307n;1; 1; 1; 1; 0; 1; 1; 
toolkit bn:01526357n;1; 1; 1; 1; 0; 1; 1; 
qt bn:17288164n;1; 1; 1; 1; 0; 1; 1; 
macos bn:01415427n;1; 1; 1; 1; 0; 0; 1; 
quantité variables bn:00079581n;1; 1; 1; 1; 0; 1; 1; 
medium bn:00054149n;1; 1; 1; 1; 0; 1; 1; 
tris bn:00072857n;1; 1; 1; 1; 0; 1; 1; 
champ de bn:15987694n;1; 1; 1; 1; 0; 1; 1; 
plupart bn:00050555n;1; 1; 1; 1; 0; 1; 1; 
préférence bn:00061333n;1; 1; 1; 1; 0; 1; 1; 
expliquer bn:00082235v;1; 1; 1; 1; 0; 1; 1; 
plage bn:04717355n;1; 1; 1; 1; 0; 1; 1; 
mm bn:00055052n;1; 1; 1; 1; 0; 1; 1; 
fraction bn:00036154n;1; 1; 1; 1; 0; 1; 1; 
soumettre bn:00094538v;1; 1; 1; 1; 0; 1; 1; 
crash bn:00023573n;1; 1; 1; 1; 0; 1; 1; 
fils bn:00051877n;1; 1; 1; 1; 0; 1; 1; 
flotter bn:00088327v;1; 1; 1; 1; 0; 1; 1; 
simplicité bn:00071689n;1; 1; 1; 1; 0; 1; 1; 
ouverte bn:00107886a;1; 1; 1; 1; 0; 1; 1; 
numéroter bn:00091103v;1; 1; 1; 1; 0; 1; 1; 
liste chaînée bn:01056813n;1; 1; 1; 1; 0; 1; 1; 
activer bn:00082307v;1; 1; 1; 1; 0; 1; 1; 
mode texte bn:03459971n;1; 1; 1; 1; 0; 1; 1; 
ret bn:05006619n;1; 1; 1; 1; 0; 1; 1; 
fichier binaire bn:00010479n;1; 1; 1; 1; 0; 1; 1; 
calculer bn:00084373v;1; 1; 1; 1; 0; 1; 0; 
fermeture bn:16858148n;1; 1; 1; 1; 0; 0; 0; 
relatif bn:00109123a;1; 1; 1; 1; 0; 1; 1; 
handle bn:00278322n;1; 1; 1; 1; 0; 1; 1; 
prochaine bn:00096455a;1; 1; 1; 1; 0; 1; 1; 
sous bn:00072872n;1; 1; 1; 1; 0; 1; 1; 
fifo bn:00034349n;1; 1; 1; 1; 0; 1; 1; 
pointé bn:00086679v;1; 1; 1; 1; 0; 1; 0; 
inode bn:03396161n;1; 1; 1; 1; 0; 1; 1; 
taille de bloc bn:04788419n;1; 1; 1; 1; 0; 1; 1; 
shell unix bn:02558830n;1; 1; 1; 1; 0; 1; 1; 
dirname bn:00242975n;1; 1; 1; 1; 0; 0; 1; 
chown bn:02823726n;1; 1; 1; 1; 0; 1; 1; 
chgrp bn:00742376n;1; 1; 1; 1; 0; 1; 1; 
hard link bn:03277499n;1; 1; 1; 1; 0; 1; 1; 
masque bn:03236329n;1; 1; 1; 1; 0; 1; 1; 
umask bn:03851470n;1; 1; 1; 1; 0; 1; 1; 
avatar bn:03801346n;1; 1; 1; 1; 0; 1; 1; 
pire bn:00113940a;1; 1; 1; 1; 0; 1; 1; 
temp bn:00076450n;1; 1; 1; 1; 0; 1; 1; 
verrouiller bn:00090430v;1; 1; 1; 1; 0; 1; 1; 
caractère nul bn:02742063n;1; 1; 1; 1; 0; 1; 1; 
oreille bn:00029372n;1; 1; 1; 1; 0; 1; 1; 
quotes bn:00683774n;1; 1; 1; 1; 0; 1; 1; 
troisième bn:00096000a;1; 1; 1; 1; 0; 1; 1; 
colle bn:00001366n;1; 1; 1; 1; 0; 1; 1; 
invisibles bn:00105385a;1; 1; 1; 1; 0; 1; 1; 
expiration bn:00026345n;1; 1; 1; 1; 0; 1; 1; 
connecté bn:00085628v;1; 1; 1; 1; 0; 1; 1; 
recommencer bn:00092914v;1; 1; 1; 1; 0; 1; 1; 
retirer bn:00092783v;1; 1; 1; 1; 0; 1; 1; 
jpeg bn:00838809n;1; 1; 1; 1; 0; 1; 1; 
truecolor bn:04000779n;1; 1; 1; 1; 0; 1; 1; 
largeur bn:00012893n;1; 1; 1; 1; 0; 1; 1; 
tiff bn:00663058n;1; 1; 1; 1; 0; 1; 1; 
intel bn:00670400n;1; 1; 1; 1; 0; 0; 1; 
rvb bn:01953314n;1; 1; 1; 1; 0; 1; 1; 
blue bn:00765896n;1; 1; 1; 1; 0; 1; 1; 
ellipse bn:00030406n;1; 1; 1; 1; 0; 1; 1; 
classe d bn:14503356n;1; 1; 1; 1; 0; 1; 1; 
héritage multiple bn:01226081n;1; 1; 1; 1; 0; 1; 1; 
classe a bn:17130264n;1; 1; 1; 1; 0; 1; 1; 
type b bn:00007599n;1; 1; 1; 1; 0; 1; 1; 
ramasse-miettes bn:00037292n;1; 1; 1; 1; 0; 1; 1; 
code objet bn:00058451n;1; 1; 1; 1; 0; 1; 1; 
directe bn:00101420a;1; 1; 1; 1; 0; 1; 1; 
explicite bn:00102589a;1; 1; 1; 1; 0; 1; 1; 
via bn:01515703n;1; 1; 1; 1; 0; 1; 1; 
descripteur de fichiers bn:03441901n;1; 1; 1; 1; 0; 1; 1; 
o3 bn:01507028n;1; 1; 1; 1; 0; 1; 1; 
substituer bn:00087802v;1; 1; 1; 1; 0; 1; 1; 
classe abstraite bn:03110061n;1; 1; 1; 1; 0; 1; 1; 
dérivée bn:00026447n;1; 1; 1; 1; 0; 1; 1; 
implémentant bn:00084595v;1; 1; 1; 1; 0; 1; 0; 
prototypes bn:03593973n;1; 1; 1; 1; 0; 1; 1; 
iterator bn:00967687n;1; 1; 1; 1; 0; 1; 1; 
erreur bn:00031485n;1; 1; 1; 1; 0; 1; 1; 
ancien système bn:01069561n;1; 1; 1; 1; 0; 1; 1; 
stream bn:02122367n;1; 1; 1; 1; 0; 1; 1; 
réception bn:00066489n;1; 1; 1; 1; 0; 1; 1; 
cas objet bn:00000786n;1; 1; 1; 1; 0; 1; 1; 
internes bn:00105292a;1; 1; 1; 1; 0; 1; 1; 
supporter bn:00093674v;1; 1; 1; 1; 0; 1; 1; 
remplissage bn:03416628n;1; 1; 1; 1; 0; 1; 0; 
epub bn:01314222n;1; 1; 1; 1; 1; 0; 1; 
web mobile bn:03168096n;1; 1; 1; 1; 1; 0; 1; 
mobile bn:00106819a;1; 1; 1; 1; 1; 0; 1; 
informatique bn:00100175a;1; 1; 1; 1; 1; 0; 0; 
interpréter bn:00089840v;1; 1; 1; 1; 1; 0; 1; 
compilateur jit bn:01502421n;1; 1; 1; 1; 1; 0; 1; 
