X;C1;C2;C4;C7;C8;C9
microsoft sql server;0;0;0;0;0;0.030303
db2;0;0;0;0;0;0.030303
maxdb;0;0;0;0;0;0.030303
informix;0;0;0;0;0;0.030303
sybase;0;0;0;0;0;0.030303
zodb;0;0;0;0;0;0.030303
db4o;0;0;0;0;0;0.030303
berkeley db;0;0;0;0;0;0.030303
nosql;0;0;0;0;0;0.030303
cassandra;0;0;0;0;0;0.030303
redis;0;0;0;0;0;0.030303
bigtable;0;0;0;0;0;0.030303
couchdb;0;0;0;0;0;0.030303
hbase;0;0;0;0;0;0.030303
leveldb;0;0;0;0;0;0.030303
phpmyadmin;0;0;0;0;0;0.030303
hébergeur;0;0;0;0;0;0.030303
root;0;0;0;0;0;0.030303
libérer;0;0;0;0;0;0.030303
supprimer;0;0;0;0;0;0.030303
example.com;0;0;0;0;0;0.030303
aller;0;0;0;0;0;0.030303
transaction;0;0;0;0;0;0.030303
isolation;0;0;0;0;0;0.030303
durabilité;0;0;0;0;0;0.030303
électricité;0;0;0;0;0;0.030303
rollback;0;0;0;0;0;0.030303
système d;0;0;0;0;0;0.030303
verrou;0;0;0;0;0;0.030303
panne;0;0;0;0;0;0.030303
gérer;0;0;0;0;0;0.030303
moteur;0;0;0;0;0;0.030303
populaire;0;0;0;0;0;0.030303
ouvrir;0;0;0;0;0;0.030303
supporter;0;0;0;0;0;0.030303
null;0;0;0;0;0;0.030303
innodb;0;0;0;0;0;0.030303
specification;0;0;0;0;0;0.030303
cours en ligne;0;0;0;0;0;0.030303
