X;C1;C10;C2;C4;C7;C8;C9
hériter;0;0.030303;0;0;0;0;0.0444444
polymorphisme;0;0.030303;0;0;0;0;0.0444444
public;0;0.030303;0;0;0;0;0.0444444
constructeur;0;0.0588235;0;0;0;0.105263;0.0851064
importer;0;0.0597015;0;0.0625;0;0.0789474;0
redéfinition;0;0.030303;0;0;0;0;0.0444444
portée;0;0.0153846;0;0;0;0;0
double;0;0.0153846;0;0;0;0;0
self;0;0.030303;0;0;0;0;0.0444444
dehors;0;0.0153846;0;0;0;0;0
uml;0;0.030303;0;0;0;0.0555556;0
web;0;0.0153846;0;0;0;0;0
plugins;0;0.0153846;0;0;0;0;0
erreur;0;0.0153846;0;0;0;0;0
nécessaire;0;0.030303;0;0.0434783;0;0;0
voir;0;0.0153846;0;0;0;0;0
juste;0;0.030303;0;0;0;0.0555556;0
réduire;0;0.0153846;0;0;0;0;0
time;0;0.030303;0;0;0.0454545;0;0
mettre;0;0.030303;0;0.0434783;0;0;0
transaction;0;0.0153846;0;0;0;0;0
vente en ligne;0;0.0153846;0;0;0;0;0
isoler;0;0.0153846;0;0;0;0;0
bas niveau;0;0.0153846;0;0;0;0;0
process mining;0;0.0153846;0;0;0;0;0
commettre;0;0.0153846;0;0;0;0;0
validation;0;0.0153846;0;0;0;0;0
vouloir;0;0.030303;0.0425532;0;0;0;0
rollback;0;0.030303;0;0;0;0;0.0444444
généralement;0;0.030303;0.0425532;0;0;0;0
mémoire ram;0;0.030303;0.0425532;0;0;0;0
retrouver;0;0.0153846;0;0;0;0;0
cohérent;0;0.0153846;0;0;0;0;0
isolation;0;0.030303;0;0;0;0;0.0444444
durabilité;0;0.030303;0;0;0;0;0.0444444
jointures;0;0.0153846;0;0;0;0;0
correcte;0;0.030303;0.0425532;0;0;0;0
finale;0;0.030303;0;0;0;0;0.0444444
système d’exploitation;0;0.030303;0;0;0;0;0.0444444
étrangères;0;0.0153846;0;0;0;0;0
innodb;0;0.030303;0;0;0;0;0.0444444
modèle relationnel;0;0.030303;0;0;0;0;0.0444444
relationnel;0;0.030303;0;0;0;0;0.0444444
perdre;0;0.0153846;0;0;0;0;0
oublier;0;0.030303;0;0;0.0454545;0;0
compatible;0;0.0153846;0;0;0;0;0
université de rouen;0;0;0.0217391;0;0;0;0
france;0;0;0.0425532;0;0.0454545;0;0
évolué;0;0;0.0217391;0;0;0;0
manuel;0;0;0.0217391;0;0;0;0
français;0;0;0.0217391;0;0;0;0
attention;0;0;0.0217391;0;0;0;0
faute de frappe;0;0;0.0217391;0;0;0;0
entiers;0;0;0.0816327;0;0.0869565;0;0.0851064
3.14;0;0;0.0217391;0;0;0;0
expr;0;0;0.0217391;0;0;0;0
spécifique;0;0;0.0217391;0;0;0;0
pointeur;0;0;0.0217391;0;0;0;0
list;0;0;0.0816327;0.0833333;0;0;0.0851064
inverse;0;0;0.0217391;0;0;0;0
trie;0;0;0.0217391;0;0;0;0
accès;0;0;0.0217391;0;0;0;0
strcmp;0;0;0.0217391;0;0;0;0
casse;0;0;0.0217391;0;0;0;0
occurence;0;0;0.0217391;0;0;0;0
décompte;0;0;0.0217391;0;0;0;0
valeur de retour;0;0;0.0425532;0;0;0;0.0444444
passage par référence;0;0;0.0425532;0.0434783;0;0;0
traiter;0;0;0.0217391;0;0;0;0
navigation;0;0;0.0425532;0.0434783;0;0;0
rouen;0;0;0.0217391;0;0;0;0
code postal;0;0;0.0217391;0;0;0;0
bouton radio;0;0;0.0217391;0;0;0;0
radio;0;0;0.0816327;0.0833333;0;0;0.0851064
multiple;0;0;0.0425532;0;0;0;0.0444444
touche ctrl;0;0;0.0217391;0;0;0;0
transfert de fichier;0;0;0.0217391;0;0;0;0
fread;0;0;0.0425532;0.0434783;0;0;0
fin de fichier;0;0;0.0217391;0;0;0;0
existence;0;0;0.0217391;0;0;0;0
carte d’identité;0;0;0.0217391;0;0;0;0
timestamp;0;0;0.0425532;0;0.0454545;0;0
min;0;0;0.0217391;0;0;0;0
exe;0;0;0.0217391;0;0;0;0
xhtml;0;0;0.0217391;0;0;0;0
2.0;0;0;0.0217391;0;0;0;0
université antilles guyane;0;0;0;0.0222222;0;0;0
feuilles de style;0;0;0;0.0222222;0;0;0
pdf;0;0;0;0.0222222;0;0;0
noël;0;0;0;0.0222222;0;0;0
client http;0;0;0;0.0222222;0;0;0
composer;0;0;0;0.0222222;0;0;0
recommandation w3c;0;0;0;0.0222222;0;0;0
information;0;0;0;0.0222222;0;0;0
êtres;0;0;0;0.0222222;0;0;0
structuration;0;0;0;0.0434783;0.0454545;0;0
désormais;0;0;0;0.0222222;0;0;0
liste à puces;0;0;0;0.0222222;0;0;0
inline;0;0;0;0.0222222;0;0;0
uvre;0;0;0;0.0222222;0;0;0
disponibilité;0;0;0;0.0222222;0;0;0
arial;0;0;0;0.0222222;0;0;0
chose;0;0;0;0.0222222;0;0;0
texte gras;0;0;0;0.0222222;0;0;0
rouge;0;0;0;0.0434783;0;0;0.0444444
abuser;0;0;0;0.0222222;0;0;0
css 3;0;0;0;0.0222222;0;0;0
souris;0;0;0;0.0222222;0;0;0
positionnement;0;0;0;0.0222222;0;0;0
anglais;0;0;0;0.0434783;0;0;0.0444444
charset;0;0;0;0.0222222;0;0;0
auto;0;0;0;0.0222222;0;0;0
droite;0;0;0;0.0222222;0;0;0
allonger;0;0;0;0.0222222;0;0;0
chevauchements;0;0;0;0.0222222;0;0;0
em;0;0;0;0.0222222;0;0;0
active server pages;0;0;0;0.0222222;0;0;0
microsoft;0;0;0;0.0434783;0;0;0.0444444
exécutable;0;0;0;0.0222222;0;0;0
connaissance;0;0;0;0.0222222;0;0;0
transtypage;0;0;0;0.0222222;0;0;0
sensibles;0;0;0;0.0222222;0;0;0
nombre à virgule flottante;0;0;0;0.0434783;0;0;0.0444444
c++;0;0;0;0.0222222;0;0;0
dictionnaires;0;0;0;0.0222222;0;0;0
table de hachage;0;0;0;0.0222222;0;0;0
bois;0;0;0;0.0222222;0;0;0
couleur;0;0;0;0.0434783;0;0;0.0444444
key;0;0;0;0.0222222;0;0;0
info;0;0;0;0.0222222;0;0;0
parcours;0;0;0;0.0222222;0;0;0
pouvoir;0;0;0;0.0222222;0;0;0
valeur par défaut;0;0;0;0.0434783;0;0;0.0444444
httpd;0;0;0;0.0222222;0;0;0
statiques;0;0;0;0.0434783;0;0;0.0444444
sport;0;0;0;0.0434783;0;0;0.0444444
selection multiple;0;0;0;0.0222222;0;0;0
bouton;0;0;0;0.0222222;0;0;0
saisir;0;0;0;0.0222222;0;0;0
nom;0;0;0;0.0222222;0;0;0
entrée standard;0;0;0;0.0222222;0;0;0
mode connecté;0;0;0;0.0222222;0;0;0
mozilla;0;0;0;0.0222222;0;0;0
rattacher;0;0;0;0.0222222;0;0;0
durée de vie;0;0;0;0.0434783;0;0;0.0444444
façon;0;0;0;0.0434783;0;0;0.0444444
path;0;0;0;0.0222222;0;0;0
authentification;0;0;0;0.0222222;0;0;0
banque;0;0;0;0.0222222;0;0;0
nobody;0;0;0;0.0222222;0;0;0
basename;0;0;0;0.0222222;0;0;0
dirname;0;0;0;0.0222222;0;0;0
touch;0;0;0;0.0222222;0;0;0
copy;0;0;0;0.0222222;0;0;0
rename;0;0;0;0.0222222;0;0;0
umask;0;0;0;0.0222222;0;0;0
ascii;0;0;0;0.0222222;0;0;0
friends;0;0;0;0.0222222;0;0;0
logiciel libre;0;0;0;0;0.0232558;0;0
conception de site web;0;0;0;0;0.0232558;0;0
formulaire web;0;0;0;0;0.0232558;0;0
envoyé;0;0;0;0;0.0232558;0;0
inutile;0;0;0;0;0.0232558;0;0
numérique;0;0;0;0;0.0454545;0;0.0444444
age;0;0;0;0;0.0232558;0;0
marie;0;0;0;0;0.0232558;0;0
italie;0;0;0;0;0.0232558;0;0
couple;0;0;0;0;0.0232558;0;0
variables locales;0;0;0;0;0.0232558;0;0
locales;0;0;0;0;0.0232558;0;0
stocker;0;0;0;0;0.0232558;0;0
variable globale;0;0;0;0;0.0232558;0;0
autre;0;0;0;0;0.0232558;0;0
généralité;0;0;0;0;0.0232558;0;0
provenance;0;0;0;0;0.0232558;0;0
files;0;0;0;0;0.0232558;0;0
attribution;0;0;0;0;0.0232558;0;0
accéder;0;0;0;0;0.0454545;0;0.0444444
valeur;0;0;0;0;0.0232558;0;0
visite;0;0;0;0;0.0232558;0;0
màj;0;0;0;0;0.0232558;0;0
site web dynamique;0;0;0;0;0;0.0555556;0.0444444
invisible;0;0;0;0;0;0.0285714;0
final;0;0;0;0;0;0.0555556;0.0444444
type de valeur;0;0;0;0;0;0.0285714;0
message;0;0;0;0;0;0.0285714;0
associa;0;0;0;0;0;0.0285714;0
opéra;0;0;0;0;0;0.0285714;0
manager;0;0;0;0;0;0.0285714;0
champ;0;0;0;0;0;0.0285714;0
limiter;0;0;0;0;0;0.0285714;0
man;0;0;0;0;0;0.0285714;0
set;0;0;0;0;0;0.0555556;0.0444444
être;0;0;0;0;0;0.0285714;0
ar;0;0;0;0;0;0.0285714;0
agit;0;0;0;0;0;0.0285714;0
indépendante;0;0;0;0;0;0.0285714;0
page;0;0;0;0;0;0.0285714;0
ici;0;0;0;0;0;0.0285714;0
nouvelle ligne;0;0;0;0;0;0.0285714;0
tim;0;0;0;0;0;0;0.0227273
tim berners-lee;0;0;0;0;0;0;0.0227273
héberger;0;0;0;0;0;0;0.0227273
messagerie;0;0;0;0;0;0;0.0227273
messagerie instantanée;0;0;0;0;0;0;0.0227273
styler;0;0;0;0;0;0;0.0227273
variable de type;0;0;0;0;0;0;0.0227273
base 10;0;0;0;0;0;0;0.0227273
affiche;0;0;0;0;0;0;0.0227273
globales;0;0;0;0;0;0;0.0227273
accepter;0;0;0;0;0;0;0.0227273
cappuccino;0;0;0;0;0;0;0.0227273
type de retour;0;0;0;0;0;0;0.0227273
récursives;0;0;0;0;0;0;0.0227273
erreur de programmation;0;0;0;0;0;0;0.0227273
contraire;0;0;0;0;0;0;0.0227273
nombre premier;0;0;0;0;0;0;0.0227273
coordonnées;0;0;0;0;0;0;0.0227273
français;0;0;0;0;0;0;0.0227273
confidentiel;0;0;0;0;0;0;0.0227273
réutiliser;0;0;0;0;0;0;0.0227273
endroit;0;0;0;0;0;0;0.0227273
survient;0;0;0;0;0;0;0.0227273
ainsi;0;0;0;0;0;0;0.0227273
démarrer;0;0;0;0;0;0;0.0227273
infinité;0;0;0;0;0;0;0.0227273
moindre;0;0;0;0;0;0;0.0227273
avant;0;0;0;0;0;0;0.0227273
seconde;0;0;0;0;0;0;0.0227273
déconnexion;0;0;0;0;0;0;0.0227273
visible;0;0;0;0;0;0;0.0227273
intrinsèque;0;0;0;0;0;0;0.0227273
sommes;0;0;0;0;0;0;0.0227273
parent;0;0;0;0;0;0;0.0227273
mère;0;0;0;0;0;0;0.0227273
classe abstraite;0;0;0;0;0;0;0.0227273
abstraite;0;0;0;0;0;0;0.0227273
implémentation;0;0;0;0;0;0;0.0227273
abstraire;0;0;0;0;0;0;0.0227273
dérivée;0;0;0;0;0;0;0.0227273
firebird;0;0;0;0;0;0;0.0227273
ingres;0;0;0;0;0;0;0.0227273
hsqldb;0;0;0;0;0;0;0.0227273
oracle database;0;0;0;0;0;0;0.0227273
db2;0;0;0;0;0;0;0.0227273
maxdb;0;0;0;0;0;0;0.0227273
informix;0;0;0;0;0;0;0.0227273
sybase;0;0;0;0;0;0;0.0227273
zodb;0;0;0;0;0;0;0.0227273
db4o;0;0;0;0;0;0;0.0227273
berkeley db;0;0;0;0;0;0;0.0227273
nosql;0;0;0;0;0;0;0.0227273
cassandra;0;0;0;0;0;0;0.0227273
bigtable;0;0;0;0;0;0;0.0227273
couchdb;0;0;0;0;0;0;0.0227273
hbase;0;0;0;0;0;0;0.0227273
leveldb;0;0;0;0;0;0;0.0227273
root;0;0;0;0;0;0;0.0227273
libérer;0;0;0;0;0;0;0.0227273
supprimer;0;0;0;0;0;0;0.0227273
example.com;0;0;0;0;0;0;0.0227273
aller;0;0;0;0;0;0;0.0227273
électricité;0;0;0;0;0;0;0.0227273
système d;0;0;0;0;0;0;0.0227273
verrou;0;0;0;0;0;0;0.0227273
panne;0;0;0;0;0;0;0.0227273
gérer;0;0;0;0;0;0;0.0227273
populaire;0;0;0;0;0;0;0.0227273
ouvrir;0;0;0;0;0;0;0.0227273
supporter;0;0;0;0;0;0;0.0227273
null;0;0;0;0;0;0;0.0227273
specification;0;0;0;0;0;0;0.0227273
cours en ligne;0;0;0;0;0;0;0.0227273
