;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
égale bn:00021326n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
expiration bn:00026345n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
avoir lieu bn:00085337v;1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 0; 
variable globale bn:02011863n;1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 
authentification bn:03253409n;1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 
déconnexion bn:00027504n;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
évidente bn:00097350a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
connecté bn:00085628v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
démarrer bn:00083342v;1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 
sauvegarde bn:00007838n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
cookie de session bn:00070691n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
recommencer bn:00092914v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
unix_timestamp bn:00124230n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
retirer bn:00092783v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
dll bn:02058089n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
jpeg bn:00838809n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
windows bitmap bn:01848933n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
truecolor bn:04000779n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
largeur bn:00012893n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
gd bn:03462925n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
gif bn:00444440n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
psd bn:15712791n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
tiff bn:00663058n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
intel bn:00670400n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
rouge bn:00066631n;1; 1; 0; 0; 0; 1; 1; 1; 0; 1; 1; 
vert bn:00041648n;1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
rvb bn:01953314n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
coordonnées bn:00022459n;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
total bn:00102277a;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
blue bn:00765896n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
cercle bn:00019169n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
ellipse bn:00030406n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
mot-clé bn:03277968n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
constante bn:14692918n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
classe d bn:14503356n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
autre bn:03870834n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 
héritage multiple bn:01226081n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
classe a bn:17130264n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
faire référence bn:00085006v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
type b bn:00007599n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ramasse-miettes bn:00037292n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
code objet bn:00058451n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
clonage bn:04738539n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
directe bn:00101420a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
explicite bn:00102589a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
via bn:01515703n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
descripteur de fichiers bn:03441901n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
o3 bn:01507028n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
substituer bn:00087802v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
utile bn:00113456a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
abstraire bn:00082180v;1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 
abstraites bn:00096212a;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 
classe abstraite bn:03110061n;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 
dérivée bn:00026447n;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
implémentant bn:00084595v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
final bn:01755798n;1; 1; 0; 1; 1; 1; 1; 0; 0; 1; 0; 
prototypes bn:03593973n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
template bn:02473997n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
contraire bn:00100398a;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
variable bn:00113503a;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
iterator bn:00967687n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
infos bn:00046705n;1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 
numéro de ligne bn:03406633n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
erreur bn:00031485n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
parent bn:00060643n;1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 
ancien système bn:01069561n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
erreur de syntaxe bn:00075740n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
intéresser bn:00089814v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
réception bn:00066489n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
cas objet bn:00000786n;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
internes bn:00105292a;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
supporter bn:00093674v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
remplissage bn:03416628n;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
structure bn:00094491v;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
université antilles guyane bn:00537645n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
feuilles de style bn:00802225n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
pdf bn:01745594n;1; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 
noël bn:00018836n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
client http bn:04783345n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
composer bn:14766022n;1; 1; 1; 0; 0; 0; 1; 1; 1; 1; 0; 
recommandation w3c bn:15800643n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
êtres bn:00009677n;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
structuration bn:14636497n;1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 
désormais bn:00116384r;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
liste à puces bn:03415182n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 
inline bn:01456420n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
disponibilité bn:00000670n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 
arial bn:01485779n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
texte gras bn:00030599n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
abuser bn:00090815v;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
css 3 bn:01642119n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
souris bn:00021487n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 
positionnement bn:00030615n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 
charset bn:00017756n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
auto bn:00007309n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 
allonger bn:00087910v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
chevauchements bn:00045993n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
em bn:00030453n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
active server pages bn:02246064n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
microsoft bn:01165400n;1; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 
exécutable bn:00102521a;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 
connaissance bn:00020452n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
dictionnaires bn:00026967n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
bois bn:00081492n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
key bn:15770009n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
info bn:00046698n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
parcours bn:03468087n;1; 1; 1; 0; 0; 0; 1; 1; 1; 1; 0; 
pouvoir bn:00084450v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
httpd bn:16913184n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
statiques bn:00111112a;1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 
sport bn:00006759n;1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 
selection multiple bn:05019947n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
saisir bn:00082727v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
nom bn:00056758n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
mode connecté bn:04749137n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
rattacher bn:00085624v;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
durée de vie bn:01120526n;1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 
path bn:01205256n;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 
nobody bn:03500369n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
basename bn:01749628n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
touch bn:03178622n;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
friends bn:00257421n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
epub bn:01314222n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
filtrage bn:00259585n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
validation bn:03925844n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
symfony bn:02798620n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
application bn:00005095n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
web service bn:03829842n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
web mobile bn:03168096n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
mobile bn:00106819a;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
compilateur bn:00021344n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
compilateur jit bn:01502421n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
sortie bn:00032242n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
programmeur bn:00020358n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
ca bn:00014403n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
livre bn:00012059n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
hiphop bn:01959769n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
machine virtuelle bn:02589960n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
typage fort bn:02560161n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
framework bn:14831528n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
phalcon bn:15355608n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
compilation aot bn:15411174n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
yahoo bn:00081801n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
content management systems bn:03631223n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
gestion de contenu bn:00883027n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
joomla bn:01946532n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
laravel bn:02935312n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
indispensable bn:00104964a;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
macports bn:01068822n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
fichier de configuration bn:03229365n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
numbers bn:00439302n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
compression bn:00021441n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
éxécution bn:16533697n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
logging bn:15274529n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
désactiver bn:00027407n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
démarrage bn:03140436n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
logger bn:00825346n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
rapporter bn:00034163n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
fuite de mémoire bn:01230884n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
chaine bn:00017487n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
socket bn:15776593n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
iconv bn:03672592n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
système d bn:04836299n;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 
smtp bn:02128235n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
set bn:04928161n;1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 1; 
lien permanents bn:03767636n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
links bn:01052609n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
md5 bn:01141584n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
assertion bn:04728763n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
fonction utilisateur bn:00952651n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
mac os x bn:01334510n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
khtml bn:00975876n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
gecko bn:15456781n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
doc bn:17202928n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
chrome bn:00018877n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
safari bn:00907501n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
remède bn:00054133n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
répondre bn:00082225v;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
null bn:15898583n;1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 
simplifier bn:00087951v;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
majuscule bn:00015499n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
eval bn:03464447n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
mardi bn:00078546n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
mercredi bn:00054897n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
jeudi bn:00076744n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
externes bn:00102624a;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
racine bn:00008793n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
signaler bn:00071525n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
type de retour bn:03354146n;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 
etudiant bn:00029806n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
setter bn:00021412n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
espace de nommage bn:01468325n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
bleu bn:00011477n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
set bn:00062714n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
diff bn:16709776n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
ball bn:03442687n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
être bn:00004222n;1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 1; 
jeanne bn:03888564n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
durand bn:04919129n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
andreas bn:02288585n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
dalton bn:00025070n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
clef primaire bn:03542434n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
franz kafka bn:00036274n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
cotes bn:01852996n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
systématiquement bn:00114825r;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
injections bn:03211312n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
injections sql bn:03319192n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
code malveillant bn:01363738n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
html5 bn:03675085n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
être valables bn:00082706v;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
injection de code bn:00184104n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
système d’information bn:00025331n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
credit bn:00022100n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
depot bn:03854733n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
réutilisé bn:00092558v;1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 
action bn:00001127n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
courant bn:00024510n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
csrf bn:14277211n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
temporaire bn:00105439a;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
django bn:01551307n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
flask bn:14887813n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
token bn:00050895n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
svg bn:02136503n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
mathml bn:03313895n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
document object model bn:03762301n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
document xml bn:04725671n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
programme tv bn:00076429n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
tv bn:00076373n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
debut bn:01247692n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
smith bn:15137150n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
realisateur bn:00027369n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
dutchman bn:03862910n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
johnny guitar bn:00554585n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
guitar bn:00281486n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
woman under the influence bn:03640247n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
victor/victoria bn:01767778n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
simplexml bn:15053361n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
the flying dutchman bn:16075739n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
jour de fête bn:15946696n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
controleur bn:00022289n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
composants bn:00021396n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
version bn:00047114n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
framework web bn:01653710n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
cd bn:00016915n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
menu bn:00021485n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
poisson bn:00062612n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
catch bn:00037180n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
routage bn:01926016n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
familiariser bn:00082274v;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
micro-noyau bn:15964004n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
package bn:01408374n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
courantes bn:00107963a;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
bin bn:00000199n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
répertoire de travail bn:00826363n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
log bn:00051830n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
flex bn:00337264n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
test driven development bn:02924470n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
avant bn:00035855n;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 
méthodologie bn:00054633n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
spécification bn:00073217n;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 
junit bn:00861107n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
phpunit bn:00980999n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
sommes bn:00082322v;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 
mettre en place bn:00088250v;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
architecture rest bn:03799604n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
transfer bn:03128918n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
json bn:00802141n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
rich internet application bn:00268208n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
patch bn:00060970n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
soap bn:02284891n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
principe bn:00064428n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
roy fielding bn:00949159n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
thèse bn:00027718n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
séparation bn:00070542n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
code serveur bn:16078281n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
mémorisation bn:00021038n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
creation bn:03599511n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
détails bn:00067417n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
avérer bn:00095117v;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
root bn:00168023n;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 
voter bn:00008198n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
mobile bn:00017029n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
informatique bn:00021494n;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 
gitlab bn:14257471n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
bitbucket bn:01444337n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
github bn:01101521n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
revue bn:00052671n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
gestion de version bn:03364124n;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
professionnelle bn:00109068a;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
historique bn:00104223a;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
dominique bn:00021210n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
novembre bn:00058192n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
document bn:00087138v;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
gnu bn:00324017n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
gnu fdl bn:01157394n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
généralité bn:00041249n;1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 
langage intermédiaires bn:00350794n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
faq bn:00033653n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
préliminaire bn:00108949a;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
pear bn:03735126n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
dbx bn:03185121n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
news bn:03357706n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
manipulation bn:00053225n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
accueil bn:00044514n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
étude de cas bn:02395950n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
évaluation bn:00031973n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
généalogie bn:00033524n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
généralité bn:00037670n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
