X;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
informix;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
msql;0;0.00140845;0;0;0;0;0;0;0;0;0
odbc;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
postgresql;0;0.0111576;0;0;0.0184758;0.0150943;0;0;0;0;0.0167715
sybase;0;0.0111576;0;0;0.0184758;0.0150943;0;0;0;0;0.0167715
berkeley db;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
delete;0;0.022069;0.0399002;0.0339703;0;0.0297398;0;0;0;0.039312;0
insert;0;0.022069;0.0399002;0.0339703;0;0;0;0;0;0.039312;0.0329897
varchar;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
null;0;0.0111576;0;0;0.0184758;0.0150943;0;0;0;0;0.0167715
gates;0;0.00140845;0;0;0;0;0;0;0;0;0
consultation;0;0.00140845;0;0;0;0;0;0;0;0;0
temps;0;0.0437158;0;0.053719;0;0;0.0477032;0.043771;0.0577889;0;0.0501002
organisation;0;0.00140845;0;0;0;0;0;0;0;0;0
stockage de données;0;0.00140845;0;0;0;0;0;0;0;0;0
linus torvalds;0;0.00140845;0;0;0;0;0;0;0;0;0
séquence;0;0.0056101;0;0;0;0;0;0;0;0.0101266;0.00845666
authentification;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
sr;0;0.00140845;0;0;0;0;0;0;0;0;0
info;0;0.00281294;0;0.00437637;0;0;0;0;0;0;0
echo;0;0.00140845;0;0;0;0;0;0;0;0;0
printf;0;0.0056101;0;0;0;0;0.00738007;0;0;0;0.00845666
join;0;0.00140845;0;0;0;0;0;0;0;0;0
jointure;0;0.00140845;0;0;0;0;0;0;0;0;0
condensateur;0;0.00140845;0;0;0;0;0;0;0;0;0
web;0;0.0111576;0;0.0172786;0.0184758;0.0150943;0;0;0;0;0
analyser;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
strcmp;0;0.00281294;0;0;0;0;0.0037037;0;0;0;0
regex;0;0.00140845;0;0;0;0;0;0;0;0;0
posix;0;0.00140845;0;0;0;0;0;0;0;0;0
fin de ligne;0;0.0111576;0;0.0172786;0.0184758;0;0;0;0;0.0200501;0
successives;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
rx;0;0.00140845;0;0;0;0;0;0;0;0;0
dynamique;0;0.00140845;0;0;0;0;0;0;0;0;0
fonction mathématiques;0;0.00140845;0;0;0;0;0;0;0;0;0
xml;0;0.0056101;0;0.0087146;0.00932401;0;0;0;0;0;0
langage de programmation;0;0.0111576;0.0203562;0;0;0;0.014652;0.0139616;0;0;0
issue;0;0.00140845;0;0;0;0;0;0;0;0;0
lire;0;0.0111576;0;0;0;0.0150943;0;0.0139616;0;0;0.0167715
fread;0;0.0056101;0;0;0;0;0.00738007;0.00702988;0;0;0
positionnement;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
message;0;0.0111576;0;0;0.0184758;0.0150943;0;0;0;0.0200501;0
copy;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
rename;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
argument;0;0.0056101;0;0;0.00932401;0.00760456;0;0;0;0;0
utiliser;0;0.00140845;0;0;0;0;0;0;0;0;0
tableau associatif;0;0.0111576;0;0;0.0184758;0.0150943;0;0;0.0213904;0;0
base64;0;0.00140845;0;0;0;0;0;0;0;0;0
statistiques;0;0.00140845;0;0;0;0;0;0;0;0;0
librairie gd;0;0.00140845;0;0;0;0;0;0;0;0;0
forme géométrique;0;0.00140845;0;0;0;0;0;0;0;0;0
rectangle;0;0.00140845;0;0;0;0;0;0;0;0;0
polygone;0;0.00140845;0;0;0;0;0;0;0;0;0
largeur;0;0.00140845;0;0;0;0;0;0;0;0;0
boutons;0;0.0056101;0;0.0087146;0;0;0;0.00702988;0;0;0
mathématiques;0;0.0056101;0;0.0087146;0.00932401;0;0;0;0;0;0
type de fonction;0;0.00140845;0;0;0;0;0;0;0;0;0
long;0;0.00140845;0;0;0;0;0;0;0;0;0
nombre pi;0;0.0056101;0;0.0087146;0;0;0.00738007;0;0;0;0
min;0;0.0056101;0;0.0087146;0;0;0.00738007;0;0;0;0
sqrt;0;0.00140845;0;0;0;0;0;0;0;0;0
exponentielles;0;0.00140845;0;0;0;0;0;0;0;0;0
acos;0;0.00140845;0;0;0;0;0;0;0;0;0
trigonométrie;0;0.00140845;0;0;0;0;0;0;0;0;0
changement de bases;0;0.00140845;0;0;0;0;0;0;0;0;0
affiche;0;0.0111576;0;0;0.0184758;0;0;0.0139616;0;0;0.0167715
expat;0;0.00140845;0;0;0;0;0;0;0;0;0
traiter;0;0.0056101;0;0;0.00932401;0;0.00738007;0;0;0;0
casse;0;0.0056101;0;0.0087146;0;0;0.00738007;0;0;0;0
encodage;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
traitement;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
remplacer;0;0.00140845;0;0;0;0;0;0;0;0;0
calculer;0;0.00140845;0;0;0;0;0;0;0;0;0
répéter;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
richesse;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
fichier par;0;0.00140845;0;0;0;0;0;0;0;0;0
exécutable;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
aspect;0;0.00140845;0;0;0;0;0;0;0;0;0
charte graphique;0;0.00140845;0;0;0;0;0;0;0;0;0
feuille de styles;0;0.0056101;0;0.0087146;0;0;0;0.00702988;0;0;0
navigation;0;0.0111576;0;0.0172786;0;0;0.014652;0.0139616;0;0;0
internet;0;0.022069;0.0399002;0.0339703;0;0.0297398;0;0;0;0;0.0329897
rapidité;0;0.00140845;0;0;0;0;0;0;0;0;0
développement;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
common gateway interface;0;0.00140845;0;0;0;0;0;0;0;0;0
communication;0;0.0056101;0.0102828;0.0087146;0;0;0;0;0;0;0
capables;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
gif;0;0.00140845;0;0;0;0;0;0;0;0;0
langage de description;0;0.00140845;0;0;0;0;0;0;0;0;0
description;0;0.0056101;0;0.0087146;0.00932401;0;0;0;0;0;0
protocole de transfert de fichier;0;0.00140845;0;0;0;0;0;0;0;0;0
transfert de fichier;0;0.00281294;0;0;0;0;0.0037037;0;0;0;0
daemon;0;0.00140845;0;0;0;0;0;0;0;0;0
access;0;0.0056101;0;0.0087146;0.00932401;0;0;0;0;0;0
portable network graphics;0;0.00140845;0;0;0;0;0;0;0;0;0
network;0;0.00140845;0;0;0;0;0;0;0;0;0
format libre;0;0.00140845;0;0;0;0;0;0;0;0;0
système;0;0.0111732;0.0178117;0;0.0161663;0;0;0;0;0;0.0146751
